data,RR,AM,CE,SC,MS,GO,MT,PA,PE,PI,RJ,RN,RO,RS,SE,TO
2022-08-30,,4.0,,,,2.0,,1.0,5.0,,,5.0,,,,3.0
2022-08-31,4.0,3.0,,,,,,1.0,,5.0,,,,,,2.0
2022-09-01,4.0,4.0,,,,,,1.0,3.0,,,,,,,2.0
2022-09-02,,4.0,5.0,,,,,1.0,3.0,,,,,,,2.0
2022-09-03,,3.0,,,,,,1.0,4.0,,,,,5.0,,2.0
2022-09-04,,3.0,,,,,,1.0,4.0,,,5.0,,,,2.0
2022-09-05,3.0,2.0,,,,,5.0,1.0,4.0,,,,,,,
2022-09-06,4.0,,,,,,2.0,1.0,3.0,,,,,,4.0,
2022-09-07,3.0,,2.0,,,,3.0,1.0,5.0,,,,,,,
2022-09-08,1.0,5.0,3.0,,,,4.0,2.0,,,,,,,,
2022-09-09,1.0,,3.0,,,,,4.0,,5.0,2.0,,,,,
2022-09-10,1.0,2.0,4.0,,,,5.0,,,,3.0,,,,,
2022-09-11,1.0,2.0,4.0,,,,,,,,3.0,,5.0,,,
2022-09-12,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
