data,RO,RJ,PI,AC,PB,AM,DF,ES,MG,MS,PR,RS,SE
2022-02-02,,,,1.0,4.0,3.0,,,,,2.0,5.0,
2022-02-03,,,,1.0,3.0,5.0,,,,,2.0,,4.0
2022-02-04,,,,1.0,3.0,,,,,5.0,2.0,,4.0
2022-02-05,,,,1.0,3.0,,,,,4.0,2.0,,5.0
2022-02-06,,,,1.0,3.0,,,,,4.0,2.0,,5.0
2022-02-07,,,,1.0,2.0,,,,5.0,,3.0,,4.0
2022-02-08,,,,1.0,2.0,,,,5.0,,3.0,,4.0
2022-02-09,,3.0,,1.0,2.0,,,,5.0,,,,4.0
2022-02-10,,4.0,,1.0,3.0,,5.0,,,,,,2.0
2022-02-11,,3.0,,1.0,5.0,,,,4.0,,,,2.0
2022-02-12,,2.0,4.0,1.0,,,,5.0,,,,,3.0
2022-02-13,,2.0,3.0,1.0,,,4.0,5.0,,,,,
2022-02-14,1.0,3.0,4.0,2.0,,,,5.0,,,,,
2022-02-15,1.0,2.0,3.0,4.0,5.0,,,,,,,,
