data,AP,DF,MT,AL,RS,GO,MA,MS,PA,PE,PR,RR
2022-03-02,,,,1.0,,,4.0,,3.0,2.0,,5.0
2022-03-03,,,,1.0,,5.0,4.0,,3.0,2.0,,
2022-03-04,,5.0,,1.0,,,3.0,,4.0,2.0,,
2022-03-05,,5.0,,1.0,,4.0,,,3.0,2.0,,
2022-03-06,,2.0,,1.0,,3.0,,,5.0,4.0,,
2022-03-07,,3.0,,1.0,,2.0,,,4.0,5.0,,
2022-03-08,,5.0,,1.0,4.0,2.0,,,3.0,,,
2022-03-09,,,,1.0,3.0,4.0,,5.0,2.0,,,
2022-03-10,,5.0,,1.0,,3.0,,,2.0,,4.0,
2022-03-11,,5.0,,1.0,,2.0,,,3.0,,4.0,
2022-03-12,,2.0,,1.0,,5.0,,,3.0,,4.0,
2022-03-13,,2.0,,1.0,,4.0,,,3.0,,5.0,
2022-03-14,2.0,3.0,4.0,1.0,,,,,,,5.0,
2022-03-15,1.0,2.0,3.0,4.0,5.0,,,,,,,
