data,AM,AP,SE,PI,MA,AL,CE,DF,ES,PB,RN,TO
2022-07-02,,,,2.0,4.0,1.0,,,,2.0,5.0,
2022-07-03,,,,5.0,2.0,1.0,,4.0,,,3.0,
2022-07-04,,,,5.0,2.0,3.0,,,,,4.0,1.0
2022-07-05,,,,,2.0,3.0,5.0,,,,4.0,1.0
2022-07-06,,,,4.0,3.0,2.0,5.0,,,,,1.0
2022-07-07,,,,5.0,2.0,3.0,4.0,,,,,1.0
2022-07-08,,,,,4.0,2.0,3.0,,5.0,,,1.0
2022-07-09,4.0,,,,4.0,2.0,3.0,,,,,1.0
2022-07-10,4.0,,,,4.0,2.0,3.0,,,,,1.0
2022-07-11,2.0,,,,5.0,4.0,3.0,,,,,1.0
2022-07-12,1.0,,2.0,5.0,,4.0,3.0,,,,,
2022-07-13,1.0,,2.0,3.0,,5.0,4.0,,,,,
2022-07-14,1.0,,2.0,3.0,,4.0,5.0,,,,,
2022-07-15,1.0,2.0,3.0,4.0,5.0,,,,,,,
