data,SP,GO,BA,ES,SE,AL,AP,CE,PA,PE,RN,RO,SC
2022-10-01,3.0,,,,,,1.0,4.0,,,2.0,,5.0
2022-10-02,3.0,,,,,,1.0,4.0,,,2.0,,5.0
2022-10-03,2.0,,,,,,,4.0,,5.0,1.0,,3.0
2022-10-04,3.0,,,,2.0,,,5.0,,4.0,1.0,,
2022-10-05,3.0,,,,1.0,,,5.0,,4.0,1.0,,
2022-10-06,3.0,,,,1.0,,,4.0,,5.0,2.0,,
2022-10-07,,,,,1.0,,,2.0,5.0,,4.0,,3.0
2022-10-08,5.0,,,,1.0,,,,,,4.0,2.0,2.0
2022-10-09,4.0,,,,5.0,,,,,,3.0,1.0,1.0
2022-10-10,3.0,,,,4.0,,,5.0,,,1.0,2.0,
2022-10-11,4.0,,,,5.0,3.0,,,,,1.0,2.0,5.0
2022-10-12,3.0,,,,4.0,4.0,,,,,1.0,2.0,
2022-10-13,2.0,5.0,4.0,,1.0,,,,,,3.0,,
2022-10-14,1.0,2.0,3.0,3.0,3.0,,,,,,,,
