data,AM,SE,TO,MT,PA,AL,CE,ES,GO,MA,PB,PR,RJ,RN,RS,SP
2022-11-04,,,,,,,1.0,,,3.0,,5.0,4.0,2.0,,
2022-11-05,,,,,,,1.0,,,3.0,,,4.0,2.0,,5.0
2022-11-06,,,,,,,1.0,,,3.0,,,4.0,2.0,,5.0
2022-11-07,,,,,,,2.0,4.0,,3.0,,,5.0,1.0,,
2022-11-08,,,,,,4.0,3.0,4.0,,1.0,,,,2.0,,
2022-11-09,,5.0,,,,2.0,,1.0,,3.0,,,,,,4.0
2022-11-10,,4.0,,,5.0,,,1.0,,2.0,,,,,,3.0
2022-11-11,5.0,1.0,,,2.0,,,,4.0,,,,,,,3.0
2022-11-12,4.0,1.0,,,2.0,,,,5.0,,,,,,,3.0
2022-11-13,5.0,1.0,,,2.0,,,,,,,,,,4.0,3.0
2022-11-14,,1.0,,,5.0,,,1.0,,,3.0,,,,,4.0
2022-11-15,5.0,1.0,,,3.0,,,,,,2.0,,,,,4.0
2022-11-16,2.0,,1.0,,5.0,,,,4.0,,,,,,,3.0
2022-11-17,1.0,2.0,2.0,4.0,5.0,,,,,,,,,,,
