data,AL,SP,SE,MT,AM,AC,BA,CE,GO,PA,TO
2022-01-08,,,,2.0,,1.0,4.0,3.0,5.0,,
2022-01-09,,,,3.0,,1.0,4.0,2.0,5.0,,
2022-01-10,,,5.0,1.0,,2.0,3.0,,4.0,,
2022-01-11,,,4.0,3.0,,1.0,5.0,,,,2.0
2022-01-12,,,1.0,4.0,,1.0,,5.0,,,3.0
2022-01-13,,,3.0,2.0,,1.0,4.0,,,5.0,
2022-01-14,,,3.0,1.0,,2.0,,,,4.0,5.0
2022-01-15,,,1.0,2.0,,3.0,,,,4.0,5.0
2022-01-16,,5.0,1.0,2.0,,3.0,,,,4.0,
2022-01-17,2.0,5.0,1.0,,,2.0,,,,4.0,
2022-01-18,1.0,4.0,3.0,5.0,,,,,,2.0,
2022-01-19,1.0,2.0,3.0,5.0,,,,,,4.0,
2022-01-20,1.0,2.0,5.0,3.0,,,,,,4.0,
2022-01-21,1.0,2.0,3.0,4.0,5.0,,,,,,
