data,TO,RJ,DF,PR,RN,AL,AP,GO,MG,MS,MT,PA,PE,RR,RS
2022-03-07,,,3.0,,,1.0,,2.0,,,,4.0,5.0,,
2022-03-08,,,5.0,,,1.0,,2.0,,,,3.0,,,4.0
2022-03-09,,,,,,1.0,,4.0,,5.0,,2.0,,,3.0
2022-03-10,,,5.0,4.0,,1.0,,3.0,,,,2.0,,,
2022-03-11,,,5.0,4.0,,1.0,,2.0,,,,3.0,,,
2022-03-12,,,2.0,4.0,,1.0,,5.0,,,,3.0,,,
2022-03-13,,,2.0,5.0,,1.0,,4.0,,,,3.0,,,
2022-03-14,,,3.0,5.0,,1.0,2.0,,,,4.0,,,,
2022-03-15,,,2.0,,,4.0,1.0,,,,3.0,,,,5.0
2022-03-16,,,2.0,3.0,,5.0,1.0,4.0,,,,,,,
2022-03-17,,,4.0,3.0,,,1.0,2.0,,,,,,5.0,
2022-03-18,4.0,3.0,,,,,1.0,5.0,,,,,,2.0,
2022-03-19,1.0,3.0,4.0,,,,,,5.0,,,,,2.0,
2022-03-20,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
