data,ES,PR,AC,SC,DF,AM,AP,CE,PA,RJ,RN,RR,SE
2022-04-08,,,,,,4.0,1.0,,,5.0,2.0,,3.0
2022-04-09,,,,,,4.0,1.0,5.0,,,2.0,,3.0
2022-04-10,,,3.0,,,5.0,2.0,,,,1.0,,4.0
2022-04-11,,,2.0,,,4.0,,,,5.0,1.0,,3.0
2022-04-12,,,2.0,,,4.0,,,5.0,,1.0,,3.0
2022-04-13,,,2.0,,5.0,,,,4.0,,1.0,,3.0
2022-04-14,,,2.0,,5.0,,,3.0,4.0,,1.0,,
2022-04-15,,,2.0,5.0,4.0,3.0,,,,,1.0,,
2022-04-16,4.0,,4.0,4.0,3.0,,,,,,1.0,2.0,
2022-04-17,5.0,,,4.0,3.0,,,,,,1.0,2.0,
2022-04-18,3.0,,,5.0,4.0,,,,,,1.0,2.0,
2022-04-19,2.0,4.0,,5.0,3.0,,,,,,1.0,,
2022-04-20,2.0,3.0,,5.0,4.0,,,,,,1.0,,
2022-04-21,1.0,2.0,3.0,4.0,5.0,,,,,,,,
