data,PI,SP,PR,BA,MS,AP,CE,GO,MA,PB,RJ,RN,RR,RS,TO
2022-05-09,,,,,,,,4.0,1.0,5.0,3.0,,2.0,,
2022-05-10,,,,,,,,5.0,2.0,,3.0,,1.0,,4.0
2022-05-11,4.0,,,,,,,,2.0,,,5.0,1.0,,3.0
2022-05-12,,,,,5.0,,,,2.0,,,3.0,1.0,,4.0
2022-05-13,,,5.0,,2.0,,,3.0,,,,4.0,1.0,,
2022-05-14,1.0,,4.0,,3.0,,,,,,,5.0,1.0,,
2022-05-15,1.0,,5.0,,3.0,,,,,,,4.0,1.0,,
2022-05-16,1.0,5.0,,,2.0,,3.0,,,,,4.0,,,
2022-05-17,2.0,,5.0,,,3.0,4.0,,,,,1.0,,,
2022-05-18,1.0,,3.0,,,,4.0,,,,,2.0,,5.0,
2022-05-19,1.0,4.0,3.0,,5.0,,,,,,,2.0,,,
2022-05-20,1.0,3.0,2.0,,5.0,,,,,,,,,4.0,
2022-05-21,1.0,3.0,2.0,,4.0,,,,,,,,,5.0,
2022-05-22,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
