data,AL,SP,RN,AC,AM,BA,CE,GO,MT,PA,SE,TO
2022-01-10,,,,2.0,,3.0,,4.0,1.0,,5.0,
2022-01-11,,,,1.0,,5.0,,,3.0,,4.0,2.0
2022-01-12,,,,1.0,,,5.0,,4.0,,1.0,3.0
2022-01-13,,,,1.0,,4.0,,,2.0,5.0,3.0,
2022-01-14,,,,2.0,,,,,1.0,4.0,3.0,5.0
2022-01-15,,,,3.0,,,,,2.0,4.0,1.0,5.0
2022-01-16,,5.0,,3.0,,,,,2.0,4.0,1.0,
2022-01-17,2.0,5.0,,2.0,,,,,,4.0,1.0,
2022-01-18,1.0,4.0,,,,,,,5.0,2.0,3.0,
2022-01-19,1.0,2.0,,,,,,,5.0,4.0,3.0,
2022-01-20,1.0,2.0,,,,,,,3.0,4.0,5.0,
2022-01-21,1.0,2.0,,,5.0,,,,4.0,,3.0,
2022-01-22,1.0,2.0,3.0,,5.0,,,,4.0,,,
2022-01-23,1.0,2.0,3.0,4.0,4.0,,,,,,,
