data,RO,AL,MA,TO,PE,AC,AP,BA,DF,ES,MG,PB,PI,RJ,SE
2022-02-10,,,,,,1.0,,,5.0,,,3.0,,4.0,2.0
2022-02-11,,,,,,1.0,,,,,4.0,5.0,,3.0,2.0
2022-02-12,,,,,,1.0,,,,5.0,,,4.0,2.0,3.0
2022-02-13,,,,,,1.0,,,4.0,5.0,,,3.0,2.0,
2022-02-14,1.0,,,,,2.0,,,,5.0,,,4.0,3.0,
2022-02-15,1.0,,,,,4.0,,,,,,5.0,3.0,2.0,
2022-02-16,1.0,,,,,3.0,,,,,,5.0,4.0,2.0,
2022-02-17,1.0,,,,,4.0,,5.0,,,,,3.0,2.0,
2022-02-18,2.0,4.0,,,,5.0,,,,,,,3.0,1.0,
2022-02-19,1.0,3.0,,4.0,,,5.0,,,,,,,2.0,
2022-02-20,1.0,2.0,,4.0,,,5.0,,,,,,,3.0,
2022-02-21,1.0,3.0,,4.0,,,5.0,,,,,,,2.0,
2022-02-22,1.0,2.0,4.0,3.0,,,,,,,,,,5.0,
2022-02-23,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
