data,RR,PE,RJ,RO,GO,AL,AP,DF,MG,MT,PA,PR,RN,RS,TO
2022-03-11,,,,,2.0,1.0,,5.0,,,3.0,4.0,,,
2022-03-12,,,,,5.0,1.0,,2.0,,,3.0,4.0,,,
2022-03-13,,,,,4.0,1.0,,2.0,,,3.0,5.0,,,
2022-03-14,,,,,,1.0,2.0,3.0,,4.0,,5.0,,,
2022-03-15,,,,,,4.0,1.0,2.0,,3.0,,,,5.0,
2022-03-16,,,,,4.0,5.0,1.0,2.0,,,,3.0,,,
2022-03-17,5.0,,,,2.0,,1.0,4.0,,,,3.0,,,
2022-03-18,2.0,,3.0,,5.0,,1.0,,,,,,,,4.0
2022-03-19,2.0,,3.0,,,,,4.0,5.0,,,,,,1.0
2022-03-20,,,2.0,,,,,3.0,,,,4.0,5.0,,1.0
2022-03-21,,5.0,2.0,,,,,,,,,4.0,3.0,,1.0
2022-03-22,,4.0,5.0,,3.0,,,,,,,,2.0,,1.0
2022-03-23,,2.0,5.0,,3.0,,,4.0,,,,,,,1.0
2022-03-24,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
