data,AP,RR,AM,BA,SE,AL,CE,MA,PI,TO
2022-07-11,,,2.0,,,4.0,3.0,5.0,,1.0
2022-07-12,,,1.0,,2.0,4.0,3.0,,5.0,
2022-07-13,,,1.0,,2.0,5.0,4.0,,3.0,
2022-07-14,,,1.0,,2.0,4.0,5.0,,3.0,
2022-07-15,2.0,,1.0,,3.0,,,5.0,4.0,
2022-07-16,,,1.0,,3.0,5.0,,2.0,4.0,
2022-07-17,,,1.0,,2.0,5.0,,3.0,4.0,
2022-07-18,2.0,,1.0,5.0,3.0,,,,4.0,
2022-07-19,2.0,,1.0,4.0,3.0,,,,5.0,
2022-07-20,2.0,3.0,1.0,5.0,4.0,,,,,
2022-07-21,2.0,3.0,1.0,5.0,4.0,,,,,
2022-07-22,1.0,2.0,3.0,5.0,4.0,,,,,
2022-07-23,1.0,2.0,3.0,4.0,5.0,,,,,
2022-07-24,1.0,2.0,3.0,4.0,5.0,,,,,
