data,SP,RN,AL,SC,MS,AC,AM,BA,CE,MT,PA,SE,TO
2022-01-12,,,,,,1.0,,,5.0,4.0,,1.0,3.0
2022-01-13,,,,,,1.0,,4.0,,2.0,5.0,3.0,
2022-01-14,,,,,,2.0,,,,1.0,4.0,3.0,5.0
2022-01-15,,,,,,3.0,,,,2.0,4.0,1.0,5.0
2022-01-16,5.0,,,,,3.0,,,,2.0,4.0,1.0,
2022-01-17,5.0,,2.0,,,2.0,,,,,4.0,1.0,
2022-01-18,4.0,,1.0,,,,,,,5.0,2.0,3.0,
2022-01-19,2.0,,1.0,,,,,,,5.0,4.0,3.0,
2022-01-20,2.0,,1.0,,,,,,,3.0,4.0,5.0,
2022-01-21,2.0,,1.0,,,,5.0,,,4.0,,3.0,
2022-01-22,2.0,3.0,1.0,,,,5.0,,,4.0,,,
2022-01-23,2.0,3.0,1.0,,,4.0,4.0,,,,,,
2022-01-24,1.0,3.0,2.0,,5.0,4.0,,,,,,,
2022-01-25,1.0,2.0,3.0,4.0,5.0,,,,,,,,
