data,CE,BA,PB,MS,MT,AL,ES,GO,MG,PE,PI,RN,RO,SE,SP
2022-10-13,,4.0,,,,,,5.0,,,,3.0,,1.0,2.0
2022-10-14,,3.0,,,,,3.0,2.0,,,,,,3.0,1.0
2022-10-15,,1.0,,,,,2.0,,,,,,4.0,2.0,5.0
2022-10-16,,1.0,,,,4.0,2.0,5.0,,,,,3.0,,
2022-10-17,,2.0,,,,5.0,1.0,4.0,,,,,3.0,,
2022-10-18,5.0,2.0,,,,,1.0,3.0,,,,,4.0,,
2022-10-19,,1.0,,,5.0,,3.0,2.0,4.0,,,,5.0,,
2022-10-20,,1.0,,,3.0,,2.0,4.0,,5.0,,,,,
2022-10-21,,1.0,,,2.0,,3.0,,5.0,4.0,,,,,
2022-10-22,,1.0,,,2.0,,4.0,3.0,,5.0,,,,,
2022-10-23,,1.0,,,2.0,,4.0,3.0,,5.0,,,,,
2022-10-24,,2.0,,,1.0,,,3.0,5.0,4.0,,,,,
2022-10-25,,1.0,2.0,3.0,,,,5.0,,,4.0,,,,
2022-10-26,1.0,2.0,3.0,4.0,4.0,,,,,,,,,,
