data,AL,SP,RN,PR,CE,AC,AM,MS,MT,PA,RS,SC,SE,TO
2022-01-14,,,,,,2.0,,,1.0,4.0,,,3.0,5.0
2022-01-15,,,,,,3.0,,,2.0,4.0,,,1.0,5.0
2022-01-16,,5.0,,,,3.0,,,2.0,4.0,,,1.0,
2022-01-17,2.0,5.0,,,,2.0,,,,4.0,,,1.0,
2022-01-18,1.0,4.0,,,,,,,5.0,2.0,,,3.0,
2022-01-19,1.0,2.0,,,,,,,5.0,4.0,,,3.0,
2022-01-20,1.0,2.0,,,,,,,3.0,4.0,,,5.0,
2022-01-21,1.0,2.0,,,,,5.0,,4.0,,,,3.0,
2022-01-22,1.0,2.0,3.0,,,,5.0,,4.0,,,,,
2022-01-23,1.0,2.0,3.0,,,4.0,4.0,,,,,,,
2022-01-24,2.0,1.0,3.0,,,4.0,,5.0,,,,,,
2022-01-25,3.0,1.0,2.0,,,,,5.0,,,,4.0,,
2022-01-26,1.0,2.0,3.0,,,,,5.0,,,4.0,,,
2022-01-27,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
