data,PE,RJ,RR,RO,GO,AL,AP,DF,ES,MG,MT,PR,RN,RS,TO
2022-03-14,,,,,,1.0,2.0,3.0,,,4.0,5.0,,,
2022-03-15,,,,,,4.0,1.0,2.0,,,3.0,,,5.0,
2022-03-16,,,,,4.0,5.0,1.0,2.0,,,,3.0,,,
2022-03-17,,,5.0,,2.0,,1.0,4.0,,,,3.0,,,
2022-03-18,,3.0,2.0,,5.0,,1.0,,,,,,,,4.0
2022-03-19,,3.0,2.0,,,,,4.0,,5.0,,,,,1.0
2022-03-20,,2.0,,,,,,3.0,,,,4.0,5.0,,1.0
2022-03-21,5.0,2.0,,,,,,,,,,4.0,3.0,,1.0
2022-03-22,4.0,5.0,,,3.0,,,,,,,,2.0,,1.0
2022-03-23,2.0,5.0,,,3.0,,,4.0,,,,,,,1.0
2022-03-24,2.0,3.0,1.0,4.0,5.0,,,,,,,,,,
2022-03-25,2.0,1.0,,3.0,5.0,,,,4.0,,,,,,
2022-03-26,2.0,1.0,,3.0,5.0,,,,4.0,,,,,,
2022-03-27,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
