data,PB,AC,AM,RR,SC,CE,DF,ES,PA,PR,RN
2022-04-14,,2.0,,,,3.0,5.0,,4.0,,1.0
2022-04-15,,2.0,3.0,,5.0,,4.0,,,,1.0
2022-04-16,,4.0,,2.0,4.0,,3.0,4.0,,,1.0
2022-04-17,,,,2.0,4.0,,3.0,5.0,,,1.0
2022-04-18,,,,2.0,5.0,,4.0,3.0,,,1.0
2022-04-19,,,,,5.0,,3.0,2.0,,4.0,1.0
2022-04-20,,,,,5.0,,4.0,2.0,,3.0,1.0
2022-04-21,,3.0,,,4.0,,5.0,1.0,,2.0,
2022-04-22,,3.0,4.0,,,,,2.0,5.0,1.0,
2022-04-23,,2.0,2.0,,,,,4.0,5.0,1.0,
2022-04-24,,,2.0,,5.0,,,4.0,3.0,1.0,
2022-04-25,4.0,4.0,,,3.0,,,,2.0,1.0,
2022-04-26,1.0,2.0,,,4.0,,,3.0,5.0,,
2022-04-27,1.0,2.0,3.0,4.0,5.0,,,,,,
