data,PI,DF,PB,MS,BA,AP,ES,MG,MT,RJ,RN,RO,RS,SE
2022-06-14,,,3.0,,,,,,2.0,,1.0,5.0,,3.0
2022-06-15,,,3.0,,,,4.0,2.0,5.0,,,,,1.0
2022-06-16,,,3.0,5.0,,,,2.0,4.0,,,,,1.0
2022-06-17,,4.0,4.0,,,1.0,,3.0,,,,,,1.0
2022-06-18,,5.0,5.0,,,1.0,,4.0,,,,,3.0,2.0
2022-06-19,,,1.0,,,2.0,,5.0,,,,,4.0,3.0
2022-06-20,,2.0,1.0,,,3.0,,4.0,,,,,,5.0
2022-06-21,,3.0,2.0,4.0,,,,5.0,,,,,,1.0
2022-06-22,,2.0,1.0,3.0,,4.0,,,,,,,,4.0
2022-06-23,3.0,2.0,1.0,4.0,,,,,,,,,,5.0
2022-06-24,1.0,2.0,3.0,4.0,,,,,,5.0,,,,
2022-06-25,1.0,2.0,3.0,4.0,,,,,,5.0,,,,
2022-06-26,1.0,2.0,3.0,4.0,,,,,,5.0,,,,
2022-06-27,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
