data,RR,AC,AM,RN,BA,AL,AP,MA,PI,SE
2022-07-15,,,1.0,,,,2.0,5.0,4.0,3.0
2022-07-16,,,1.0,,,5.0,,2.0,4.0,3.0
2022-07-17,,,1.0,,,5.0,,3.0,4.0,2.0
2022-07-18,,,1.0,,5.0,,2.0,,4.0,3.0
2022-07-19,,,1.0,,4.0,,2.0,,5.0,3.0
2022-07-20,3.0,,1.0,,5.0,,2.0,,,4.0
2022-07-21,3.0,,1.0,,5.0,,2.0,,,4.0
2022-07-22,2.0,,3.0,,5.0,,1.0,,,4.0
2022-07-23,2.0,,3.0,,4.0,,1.0,,,5.0
2022-07-24,2.0,,3.0,,4.0,,1.0,,,5.0
2022-07-25,4.0,,1.0,,2.0,,,,5.0,3.0
2022-07-26,1.0,,3.0,,2.0,,,5.0,,4.0
2022-07-27,1.0,3.0,4.0,,2.0,,,,,5.0
2022-07-28,1.0,2.0,3.0,4.0,5.0,,,,,
