data,PR,AL,CE,PB,RS,AC,AM,MS,MT,PA,RN,SC,SE,SP
2022-01-16,,,,,,3.0,,,2.0,4.0,,,1.0,5.0
2022-01-17,,2.0,,,,2.0,,,,4.0,,,1.0,5.0
2022-01-18,,1.0,,,,,,,5.0,2.0,,,3.0,4.0
2022-01-19,,1.0,,,,,,,5.0,4.0,,,3.0,2.0
2022-01-20,,1.0,,,,,,,3.0,4.0,,,5.0,2.0
2022-01-21,,1.0,,,,,5.0,,4.0,,,,3.0,2.0
2022-01-22,,1.0,,,,,5.0,,4.0,,3.0,,,2.0
2022-01-23,,1.0,,,,4.0,4.0,,,,3.0,,,2.0
2022-01-24,,2.0,,,,4.0,,5.0,,,3.0,,,1.0
2022-01-25,,3.0,,,,,,5.0,,,2.0,4.0,,1.0
2022-01-26,,1.0,,,4.0,,,5.0,,,3.0,,,2.0
2022-01-27,4.0,1.0,5.0,,,,,,,,3.0,,,2.0
2022-01-28,1.0,5.0,2.0,,,,,,,,4.0,,,3.0
2022-01-29,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
