data,PI,ES,SE,MS,PR,AP,BA,CE,DF,MT,RN,RS,SP
2022-05-16,1.0,,,2.0,,,,3.0,,,4.0,,5.0
2022-05-17,2.0,,,,5.0,3.0,,4.0,,,1.0,,
2022-05-18,1.0,,,,3.0,,,4.0,,,2.0,5.0,
2022-05-19,1.0,,,5.0,3.0,,,,,,2.0,,4.0
2022-05-20,1.0,,,5.0,2.0,,,,,,,4.0,3.0
2022-05-21,1.0,,,4.0,2.0,,,,,,,5.0,3.0
2022-05-22,1.0,,,5.0,3.0,,4.0,,,,,,2.0
2022-05-23,1.0,,,4.0,3.0,,,,5.0,,,,2.0
2022-05-24,1.0,3.0,,,2.0,,,,,,,5.0,4.0
2022-05-25,5.0,1.0,,,2.0,,,,,4.0,,,3.0
2022-05-26,1.0,2.0,,5.0,3.0,,,,,,,,4.0
2022-05-27,2.0,1.0,,3.0,4.0,,,,,,,5.0,
2022-05-28,1.0,2.0,3.0,4.0,5.0,,,,,,,,
2022-05-29,1.0,2.0,3.0,4.0,5.0,,,,,,,,
