data,RJ,DF,GO,BA,TO,AM,MG,MS,PR,RO,RS,SC
2020-08-09,,,,,,5.0,1.0,2.0,,,4.0,3.0
2020-08-10,,,,,5.0,3.0,1.0,,,,4.0,2.0
2020-08-11,,,,,5.0,2.0,3.0,4.0,,,,1.0
2020-08-12,,,,,3.0,1.0,5.0,4.0,,,,2.0
2020-08-13,,,,,2.0,1.0,5.0,4.0,,,,3.0
2020-08-14,,,,5.0,2.0,1.0,4.0,,,,,3.0
2020-08-15,,,,,4.0,1.0,2.0,,5.0,,,3.0
2020-08-16,,,,,4.0,1.0,3.0,5.0,,,,2.0
2020-08-17,,3.0,,5.0,,1.0,2.0,,,4.0,,
2020-08-18,,3.0,,4.0,5.0,2.0,1.0,,,,,
2020-08-19,,1.0,3.0,4.0,,2.0,5.0,,,,,
2020-08-20,,1.0,,3.0,,2.0,5.0,4.0,,,,
2020-08-21,4.0,1.0,5.0,3.0,,2.0,,,,,,
2020-08-22,1.0,2.0,3.0,4.0,5.0,,,,,,,
