data,RR,RJ,SP,GO,MG,AP,ES,MT,PE,PR,RN,RO,SC,TO
2020-11-10,,,,,,4.0,,,3.0,2.0,1.0,,5.0,
2020-11-11,1.0,,,,,3.0,,,5.0,2.0,4.0,,,
2020-11-12,1.0,,,,,2.0,,4.0,,3.0,,,5.0,
2020-11-13,1.0,,,,,2.0,,5.0,,4.0,3.0,,,
2020-11-14,1.0,,,,,2.0,,5.0,,4.0,3.0,,,
2020-11-15,1.0,,,,,2.0,,5.0,,4.0,3.0,,,
2020-11-16,1.0,,,,,5.0,,2.0,,4.0,3.0,,,
2020-11-17,1.0,,4.0,,,,,5.0,,,,3.0,,2.0
2020-11-18,1.0,5.0,,,4.0,,,2.0,,,3.0,,,
2020-11-19,2.0,3.0,,,4.0,1.0,,,,5.0,,,,
2020-11-20,1.0,3.0,4.0,5.0,,2.0,,,,,,,,
2020-11-21,1.0,3.0,5.0,,,2.0,4.0,,,,,,,
2020-11-22,1.0,3.0,,5.0,,2.0,4.0,,,,,,,
2020-11-23,1.0,2.0,3.0,4.0,5.0,,,,,,,,,
