data,RJ,RS,SP,MG,MS,AP,ES,GO,MT,PR,RN,RO,RR,SC,TO
2020-11-12,,,,,,2.0,,,4.0,3.0,,,1.0,5.0,
2020-11-13,,,,,,2.0,,,5.0,4.0,3.0,,1.0,,
2020-11-14,,,,,,2.0,,,5.0,4.0,3.0,,1.0,,
2020-11-15,,,,,,2.0,,,5.0,4.0,3.0,,1.0,,
2020-11-16,,,,,,5.0,,,2.0,4.0,3.0,,1.0,,
2020-11-17,,,4.0,,,,,,5.0,,,3.0,1.0,,2.0
2020-11-18,5.0,,,4.0,,,,,2.0,,3.0,,1.0,,
2020-11-19,3.0,,,4.0,,1.0,,,,5.0,,,2.0,,
2020-11-20,3.0,,4.0,,,2.0,,5.0,,,,,1.0,,
2020-11-21,3.0,,5.0,,,2.0,4.0,,,,,,1.0,,
2020-11-22,3.0,,,,,2.0,4.0,5.0,,,,,1.0,,
2020-11-23,2.0,,3.0,5.0,,,,4.0,,,,,1.0,,
2020-11-24,2.0,,3.0,4.0,,,5.0,,,,,,1.0,,
2020-11-25,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
