data,AM,AC,RS,RR,ES,AL,AP,DF,PB,PI,RJ,RN,SE
2020-10-13,,2.0,,,,3.0,,4.0,,1.0,,,5.0
2020-10-14,,1.0,,,,3.0,,5.0,,4.0,,,2.0
2020-10-15,,5.0,,,,3.0,,,4.0,1.0,,,2.0
2020-10-16,,,,,,,,5.0,4.0,2.0,,1.0,3.0
2020-10-17,,,,,,5.0,,,3.0,2.0,,1.0,4.0
2020-10-18,,,,,,5.0,,,2.0,3.0,,1.0,4.0
2020-10-19,,,,,5.0,,,,2.0,3.0,,1.0,4.0
2020-10-20,,,4.0,,,,,,2.0,3.0,,1.0,5.0
2020-10-21,2.0,,,,,,,,,3.0,5.0,1.0,4.0
2020-10-22,2.0,5.0,,3.0,,,,,5.0,5.0,,1.0,4.0
2020-10-23,1.0,,5.0,3.0,,,,,4.0,,,,2.0
2020-10-24,1.0,5.0,4.0,2.0,,,5.0,,,5.0,,,3.0
2020-10-25,1.0,2.0,,3.0,5.0,,3.0,,,,,,
2020-10-26,1.0,2.0,3.0,4.0,5.0,,,,,,,,
