data,BA,PA,SC,RN,RS,AC,CE,MA,RO,RR
2021-02-15,,4.0,,,,2.0,5.0,3.0,,1.0
2021-02-16,,2.0,,,,3.0,5.0,4.0,,1.0
2021-02-17,4.0,3.0,,,,2.0,,5.0,,1.0
2021-02-18,4.0,3.0,,,,2.0,,5.0,,1.0
2021-02-19,4.0,2.0,,,,3.0,,,5.0,1.0
2021-02-20,4.0,3.0,,5.0,,2.0,,,,1.0
2021-02-21,3.0,5.0,,4.0,,1.0,,,,2.0
2021-02-22,4.0,3.0,,5.0,,1.0,,,,2.0
2021-02-23,3.0,4.0,,,,2.0,,,5.0,1.0
2021-02-24,5.0,3.0,,,,4.0,1.0,,,2.0
2021-02-25,2.0,1.0,,,,4.0,3.0,,,5.0
2021-02-26,1.0,2.0,,5.0,,3.0,4.0,,,
2021-02-27,2.0,4.0,5.0,3.0,,,1.0,,,
2021-02-28,1.0,2.0,3.0,4.0,5.0,,,,,
