data,SC,MS,RR,GO,TO,AP,DF,MG,PR,RO,RS
2020-07-14,,1.0,,,4.0,,5.0,,3.0,,2.0
2020-07-15,3.0,4.0,,,,,,5.0,1.0,,2.0
2020-07-16,1.0,3.0,,,,,4.0,,2.0,,5.0
2020-07-17,1.0,,,,5.0,,3.0,,2.0,,4.0
2020-07-18,1.0,,,,4.0,,5.0,,3.0,,2.0
2020-07-19,1.0,5.0,,,4.0,,,,3.0,,2.0
2020-07-20,1.0,5.0,,,3.0,,,4.0,,,2.0
2020-07-21,1.0,4.0,,,3.0,,,,5.0,,2.0
2020-07-22,1.0,4.0,,,3.0,,,,,5.0,2.0
2020-07-23,1.0,3.0,,,4.0,,,,,2.0,5.0
2020-07-24,1.0,2.0,,,5.0,3.0,,,,4.0,
2020-07-25,1.0,2.0,,,5.0,4.0,,,,3.0,
2020-07-26,1.0,2.0,4.0,,5.0,,,,,3.0,
2020-07-27,1.0,2.0,3.0,4.0,5.0,,,,,,
