data,RR,AP,RJ,AM,MG,AC,BA,CE,GO,MA,PA,PE,RN,RO,RS,SP
2020-09-15,4.0,,,,,2.0,,1.0,,,3.0,,,5.0,,
2020-09-16,,,,,,4.0,,1.0,,,2.0,,,3.0,5.0,
2020-09-17,,,4.0,,,,,,,,2.0,3.0,,1.0,5.0,
2020-09-18,,5.0,3.0,,,,,,,,2.0,1.0,,4.0,,
2020-09-19,,4.0,1.0,,5.0,,,,,,3.0,2.0,,,,
2020-09-20,,3.0,1.0,,,,,,,4.0,,2.0,,,,5.0
2020-09-21,,3.0,1.0,,,,4.0,,,5.0,,,,2.0,,
2020-09-22,,,1.0,,,,5.0,,2.0,,,,,4.0,,3.0
2020-09-23,,1.0,3.0,,,,,,5.0,,,2.0,4.0,,,
2020-09-24,1.0,2.0,,4.0,,,,,5.0,,,,3.0,,,
2020-09-25,1.0,3.0,2.0,,4.0,,5.0,,,,,,,,,
2020-09-26,1.0,2.0,4.0,3.0,,,,,,,5.0,,,,,
2020-09-27,1.0,2.0,4.0,3.0,5.0,,,,,,,,,,,
2020-09-28,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,,
