data,SC,CE,RJ,ES,RR,AP,GO,MG,MT,PE,PR,RN,RO,RS,SP
2020-11-15,,,,,,2.0,,,5.0,4.0,3.0,1.0,,,
2020-11-16,,,,,,1.0,,,5.0,,3.0,2.0,4.0,,
2020-11-17,5.0,,,,1.0,4.0,,,,,3.0,2.0,,,
2020-11-18,,,,,1.0,3.0,,,5.0,,2.0,4.0,,,
2020-11-19,5.0,,,,1.0,2.0,,,,,3.0,4.0,,,
2020-11-20,,,4.0,,1.0,2.0,,,,,3.0,5.0,,,
2020-11-21,,,,,1.0,2.0,,,,,3.0,4.0,,,5.0
2020-11-22,,,,,1.0,2.0,,,,,5.0,3.0,,,4.0
2020-11-23,,,2.0,5.0,1.0,,,,,,,4.0,,,3.0
2020-11-24,,,3.0,,1.0,,4.0,,,,,,,5.0,2.0
2020-11-25,,,2.0,,1.0,,,3.0,,,,,,5.0,4.0
2020-11-26,4.0,,1.0,3.0,,,5.0,2.0,,,,,,,
2020-11-27,2.0,,1.0,5.0,,,2.0,,,,,,,,4.0
2020-11-28,1.0,2.0,3.0,4.0,5.0,,,,,,,,,,
