estado,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
AL,2020-02-25,0,0,0,0,,,,0.0
AL,2020-02-26,0,0,0,0,,,,0.0
AL,2020-02-27,0,0,0,0,,,,0.0
AL,2020-02-28,0,0,0,0,,,,0.0
AL,2020-02-29,0,0,0,0,,,,0.0
AL,2020-03-01,0,0,0,0,,,,0.0
AL,2020-03-02,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-03,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-04,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-05,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-06,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-07,0,0,0,0,0.0,0.0,,0.0
AL,2020-03-08,1,1,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-09,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-10,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-11,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-12,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-13,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-14,1,0,0,0,0.14285714285714285,0.0,,0.0
AL,2020-03-15,1,0,0,0,0.0,0.0,,0.0
AL,2020-03-16,1,0,0,0,0.0,0.0,,0.0
AL,2020-03-17,1,0,0,0,0.0,0.0,,0.0
AL,2020-03-18,1,0,0,0,0.0,0.0,,0.0
AL,2020-03-19,4,3,0,0,0.42857142857142855,0.0,,0.6020599913279624
AL,2020-03-20,5,1,0,0,0.5714285714285714,0.0,,0.6989700043360189
AL,2020-03-21,7,2,0,0,0.8571428571428571,0.0,,0.8450980400142568
AL,2020-03-22,7,0,0,0,0.8571428571428571,0.0,,0.8450980400142568
AL,2020-03-23,7,0,0,0,0.8571428571428571,0.0,,0.8450980400142568
AL,2020-03-24,9,2,0,0,1.1428571428571428,0.0,,0.9542425094393249
AL,2020-03-25,11,2,0,0,1.4285714285714286,0.0,,1.041392685158225
AL,2020-03-26,11,0,0,0,1.0,0.0,,1.041392685158225
AL,2020-03-27,11,0,0,0,0.8571428571428571,0.0,,1.041392685158225
AL,2020-03-28,14,3,0,0,1.0,0.0,,1.146128035678238
AL,2020-03-29,17,3,0,0,1.4285714285714286,0.0,,1.2304489213782739
AL,2020-03-30,17,0,0,0,1.4285714285714286,0.0,,1.2304489213782739
AL,2020-03-31,18,1,1,1,1.2857142857142858,0.14285714285714285,inf,1.255272505103306
AL,2020-04-01,18,0,1,0,1.0,0.14285714285714285,inf,1.255272505103306
AL,2020-04-02,18,0,1,0,1.0,0.14285714285714285,inf,1.255272505103306
AL,2020-04-03,22,4,2,1,1.5714285714285714,0.2857142857142857,inf,1.3424226808222062
AL,2020-04-04,23,1,2,0,1.2857142857142858,0.2857142857142857,inf,1.3617278360175928
AL,2020-04-05,28,5,2,0,1.5714285714285714,0.2857142857142857,inf,1.4471580313422192
AL,2020-04-06,31,3,2,0,2.0,0.2857142857142857,inf,1.4913616938342726
AL,2020-04-07,32,1,2,0,2.0,0.14285714285714285,inf,1.505149978319906
AL,2020-04-08,37,5,2,0,2.7142857142857144,0.14285714285714285,inf,1.568201724066995
AL,2020-04-09,37,0,3,1,2.7142857142857144,0.2857142857142857,inf,1.568201724066995
AL,2020-04-10,45,8,3,0,3.2857142857142856,0.14285714285714285,inf,1.6532125137753437
AL,2020-04-11,48,3,3,0,3.5714285714285716,0.14285714285714285,inf,1.6812412373755872
AL,2020-04-12,48,0,3,0,2.857142857142857,0.14285714285714285,inf,1.6812412373755872
AL,2020-04-13,50,2,3,0,2.7142857142857144,0.14285714285714285,inf,1.6989700043360187
AL,2020-04-14,72,22,4,1,5.714285714285714,0.2857142857142857,1.0,1.8573324964312685
AL,2020-04-15,82,10,5,1,6.428571428571429,0.42857142857142855,2.0,1.9138138523837167
AL,2020-04-16,89,7,5,0,7.428571428571429,0.2857142857142857,1.0,1.9493900066449128
AL,2020-04-17,110,21,7,2,9.285714285714286,0.5714285714285714,1.0,2.041392685158225
AL,2020-04-18,132,22,7,0,12.0,0.5714285714285714,1.0,2.12057393120585
AL,2020-04-19,159,27,15,8,15.857142857142858,1.7142857142857142,5.0,2.2013971243204513
AL,2020-04-20,171,12,18,3,17.285714285714285,2.142857142857143,6.500000000000001,2.2329961103921536
AL,2020-04-21,210,39,19,1,19.714285714285715,2.142857142857143,14.0,2.322219294733919
AL,2020-04-22,243,33,20,1,23.0,2.142857142857143,14.0,2.385606273598312
AL,2020-04-23,324,81,22,2,33.57142857142857,2.4285714285714284,7.5,2.510545010206612
AL,2020-04-24,413,89,27,5,43.285714285714285,2.857142857142857,19.000000000000004,2.615950051656401
AL,2020-04-25,501,88,29,2,52.714285714285715,3.142857142857143,21.0,2.699837725867246
AL,2020-04-26,554,53,32,3,56.42857142857143,2.4285714285714284,16.0,2.74350976472843
AL,2020-04-27,643,89,34,2,67.42857142857143,2.2857142857142856,15.0,2.808210972924222
AL,2020-04-28,777,134,36,2,81.0,2.4285714285714284,7.5,2.890421018800914
AL,2020-04-29,957,180,41,5,102.0,3.0,6.000000000000001,2.9809119377768436
AL,2020-04-30,1044,87,47,6,102.85714285714286,3.5714285714285716,11.500000000000002,3.0187004986662433
AL,2020-05-01,1226,182,53,6,116.14285714285714,3.7142857142857144,5.500000000000001,3.0884904701823963
AL,2020-05-02,1372,146,58,5,124.42857142857143,4.142857142857143,6.250000000000002,3.137354111370733
AL,2020-05-03,1441,69,64,6,126.71428571428571,4.571428571428571,1.6666666666666665,3.1586639808139894
AL,2020-05-04,1538,97,72,8,127.85714285714286,5.428571428571429,1.5333333333333334,3.1869563354654122
AL,2020-05-05,1606,68,80,8,118.42857142857143,6.285714285714286,1.9333333333333331,3.205745540942662
AL,2020-05-06,1703,97,89,9,106.57142857142857,6.857142857142857,2.1999999999999997,3.231214647962601
AL,2020-05-07,1867,164,98,9,117.57142857142857,7.285714285714286,2.0000000000000004,3.2711443179490782
AL,2020-05-08,2033,166,108,10,115.28571428571429,7.857142857142857,1.75,3.3081373786380386
AL,2020-05-09,2172,139,114,6,114.28571428571429,8.0,1.5454545454545456,3.336859820916809
AL,2020-05-10,2258,86,126,12,116.71428571428571,8.857142857142858,2.647058823529412,3.353723937588949
AL,2020-05-11,2343,85,138,12,115.0,9.428571428571429,3.1250000000000004,3.369772288596963
AL,2020-05-12,2580,237,150,12,139.14285714285714,10.0,3.1176470588235294,3.41161970596323
AL,2020-05-13,2761,181,164,14,151.14285714285714,10.714285714285714,2.571428571428571,3.4410664066392633
AL,2020-05-14,2972,211,177,13,157.85714285714286,11.285714285714286,2.16,3.4730488050885375
AL,2020-05-15,3212,240,187,10,168.42857142857142,11.285714285714286,2.0384615384615388,3.5067755366066433
AL,2020-05-16,3593,381,199,12,203.0,12.142857142857142,1.9310344827586203,3.5554572172046495
AL,2020-05-17,3816,223,210,11,222.57142857142858,12.0,1.6250000000000002,3.5816083660320577
AL,2020-05-18,4031,215,221,11,241.14285714285714,11.857142857142858,1.1842105263157894,3.605412798153051
AL,2020-05-19,4316,285,231,10,248.0,11.571428571428571,0.8409090909090909,3.635081436010873
AL,2020-05-20,4437,121,251,20,239.42857142857142,12.428571428571429,0.8125000000000001,3.647089428716555
AL,2020-05-21,4916,479,262,11,277.7142857142857,12.142857142857142,0.6666666666666666,3.6916118742144164
AL,2020-05-22,5302,386,280,18,298.57142857142856,13.285714285714286,0.6909090909090911,3.7244397233970745
AL,2020-05-23,5630,328,301,21,291.0,14.571428571428571,0.8214285714285714,3.7505083948513462
AL,2020-05-24,6214,584,316,15,342.57142857142856,15.142857142857142,0.7096774193548385,3.7933712489189557
AL,2020-05-25,6682,468,337,21,378.7142857142857,16.571428571428573,0.7575757575757577,3.8249064713021124
AL,2020-05-26,7058,376,354,17,391.7142857142857,17.571428571428573,0.7571428571428573,3.8486816540239506
AL,2020-05-27,7580,522,368,14,449.0,16.714285714285715,0.5600000000000002,3.8796692056320534
AL,2020-05-28,8055,475,385,17,448.42857142857144,17.571428571428573,0.5569620253164558,3.906065544755237
AL,2020-05-29,8618,563,406,21,473.7142857142857,18.0,0.5949367088607593,3.935406489752349
AL,2020-05-30,9223,605,424,18,513.2857142857143,17.571428571428573,0.44705882352941195,3.9648722086377752
AL,2020-05-31,10288,1065,443,19,582.0,18.142857142857142,0.5119047619047619,4.012330955580147
AL,2020-06-01,10837,549,461,18,593.5714285714286,17.714285714285715,0.49397590361445787,4.034909073367748
AL,2020-06-02,11559,722,482,21,643.0,18.285714285714285,0.5802469135802468,4.062920263732663
AL,2020-06-03,12407,848,506,24,689.5714285714286,19.714285714285715,0.5862068965517242,4.093666782227903
AL,2020-06-04,13097,690,531,25,720.2857142857143,20.857142857142858,0.7176470588235295,4.117171827514267
AL,2020-06-05,13937,840,557,26,759.8571428571429,21.571428571428573,0.6236559139784946,4.144169300041666
AL,2020-06-06,14818,881,582,25,799.2857142857143,22.571428571428573,0.5490196078431374,4.170789590446391
AL,2020-06-07,15706,888,601,19,774.0,22.571428571428573,0.4905660377358492,4.196065593116304
AL,2020-06-08,15706,0,601,0,695.5714285714286,20.0,0.20689655172413782,4.196065593116304
AL,2020-06-09,17193,1487,640,39,804.8571428571429,22.571428571428573,0.2845528455284553,4.235351663177412
AL,2020-06-10,18176,983,660,20,824.1428571428571,22.0,0.31623931623931617,4.259498314030925
AL,2020-06-11,19200,1024,681,21,871.8571428571429,21.428571428571427,0.21951219512195103,4.283301228703549
AL,2020-06-12,20031,831,701,20,870.5714285714286,20.571428571428573,0.14285714285714293,4.301702630953145
AL,2020-06-13,20887,856,723,22,867.0,20.142857142857142,0.14634146341463403,4.31987606673915
AL,2020-06-14,22199,1312,744,21,927.5714285714286,20.428571428571427,0.12598425196850388,4.346333411195522
AL,2020-06-15,22962,763,768,24,1036.5714285714287,23.857142857142858,0.34677419354838707,4.361009712608143
AL,2020-06-16,23632,670,793,25,919.8571428571429,21.857142857142858,0.19531250000000008,4.373500477967874
AL,2020-06-17,24867,1235,811,18,955.8571428571429,21.571428571428573,0.09420289855072465,4.3956233943558365
AL,2020-06-18,25633,766,831,20,919.0,21.428571428571427,0.027397260273972504,4.408799437522527
AL,2020-06-19,26906,1273,848,17,982.1428571428571,21.0,-0.026490066225165632,4.429849137858492
AL,2020-06-20,27698,792,866,18,973.0,20.428571428571427,-0.09493670886075962,4.442448410930069
AL,2020-06-21,28657,959,884,18,922.5714285714286,20.0,-0.11392405063291146,4.457230723687269
AL,2020-06-22,29395,738,903,19,919.0,19.285714285714285,-0.03571428571428577,4.4682734645251
AL,2020-06-23,30248,853,920,17,945.1428571428571,18.142857142857142,-0.1962025316455697,4.480696664354479
AL,2020-06-24,31230,982,938,18,909.0,18.142857142857142,-0.17532467532467536,4.494571984230198
AL,2020-06-25,32065,835,958,20,918.8571428571429,18.142857142857142,-0.1533333333333333,4.506031244253258
