data,RR,GO,MS,SC,TO,AP,DF,MG,PR,RO,RS
2020-07-16,,,3.0,1.0,,,4.0,,2.0,,5.0
2020-07-17,,,,1.0,5.0,,3.0,,2.0,,4.0
2020-07-18,,,,1.0,4.0,,5.0,,3.0,,2.0
2020-07-19,,,5.0,1.0,4.0,,,,3.0,,2.0
2020-07-20,,,5.0,1.0,3.0,,,4.0,,,2.0
2020-07-21,,,4.0,1.0,3.0,,,,5.0,,2.0
2020-07-22,,,4.0,1.0,3.0,,,,,5.0,2.0
2020-07-23,,,3.0,1.0,4.0,,,,,2.0,5.0
2020-07-24,,,2.0,1.0,5.0,3.0,,,,4.0,
2020-07-25,,,2.0,1.0,5.0,4.0,,,,3.0,
2020-07-26,4.0,,2.0,1.0,5.0,,,,,3.0,
2020-07-27,3.0,4.0,2.0,1.0,5.0,,,,,,
2020-07-28,1.0,3.0,4.0,2.0,,,,,,5.0,
2020-07-29,1.0,2.0,3.0,4.0,5.0,,,,,,
