data,AP,RJ,TO,GO,PA,AM,BA,DF,MG,MS,RN,RO,RS
2020-08-17,,,,,,1.0,5.0,3.0,2.0,,,4.0,
2020-08-18,,,5.0,,,2.0,4.0,3.0,1.0,,,,
2020-08-19,,,,3.0,,2.0,4.0,1.0,5.0,,,,
2020-08-20,,,,,,2.0,3.0,1.0,5.0,4.0,,,
2020-08-21,,4.0,,5.0,,2.0,3.0,1.0,,,,,
2020-08-22,,1.0,5.0,3.0,,,4.0,2.0,,,,,
2020-08-23,,1.0,3.0,5.0,,,4.0,2.0,,,,,
2020-08-24,,1.0,4.0,2.0,,,3.0,5.0,,,,,
2020-08-25,,1.0,4.0,2.0,,,3.0,,,,5.0,,
2020-08-26,2.0,1.0,4.0,3.0,,,5.0,,,,,,
2020-08-27,1.0,2.0,3.0,4.0,,,5.0,,,,,,
2020-08-28,1.0,3.0,2.0,,,,5.0,,,4.0,,,
2020-08-29,1.0,2.0,3.0,4.0,,,,,,,,,5.0
2020-08-30,1.0,2.0,3.0,4.0,5.0,,,,,,,,
