estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
AL,São Miguel dos Milagres,27,270870.0,2020-03-27,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-03-28,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-03-29,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-03-30,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-03-31,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-01,0,0,0,0,,,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-08,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-09,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-10,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-11,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-12,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-13,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-14,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-15,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-16,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-17,0,0,0,0,0.0,0.0,,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-18,1,1,1,1,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-19,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-20,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-21,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-22,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-23,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-24,1,0,1,0,0.14285714285714285,0.14285714285714285,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-25,1,0,1,0,0.0,0.0,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-26,1,0,1,0,0.0,0.0,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-27,1,0,1,0,0.0,0.0,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-28,1,0,1,0,0.0,0.0,5.0,0.0
AL,São Miguel dos Milagres,27,270870.0,2020-04-29,2,1,1,0,0.14285714285714285,0.0,5.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-04-30,2,0,1,0,0.14285714285714285,0.0,5.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-01,2,0,1,0,0.14285714285714285,0.0,5.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-02,2,0,1,0,0.14285714285714285,0.0,-1.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-03,2,0,1,0,0.14285714285714285,0.0,-1.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-04,2,0,1,0,0.14285714285714285,0.0,-1.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-05,2,0,1,0,0.14285714285714285,0.0,-1.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-06,2,0,1,0,0.0,0.0,-1.0,0.3010299956639812
AL,São Miguel dos Milagres,27,270870.0,2020-05-07,10,8,1,0,1.1428571428571428,0.0,-1.0,1.0
AL,São Miguel dos Milagres,27,270870.0,2020-05-08,10,0,1,0,1.1428571428571428,0.0,-1.0,1.0
AL,São Miguel dos Milagres,27,270870.0,2020-05-09,10,0,1,0,1.1428571428571428,0.0,-1.0,1.0
AL,São Miguel dos Milagres,27,270870.0,2020-05-10,10,0,1,0,1.1428571428571428,0.0,-1.0,1.0
AL,São Miguel dos Milagres,27,270870.0,2020-05-11,11,1,1,0,1.2857142857142858,0.0,-1.0,1.041392685158225
AL,São Miguel dos Milagres,27,270870.0,2020-05-12,13,2,1,0,1.5714285714285714,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-13,13,0,1,0,1.5714285714285714,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-14,13,0,1,0,0.42857142857142855,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-15,13,0,1,0,0.42857142857142855,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-16,13,0,1,0,0.42857142857142855,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-17,13,0,1,0,0.42857142857142855,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-18,13,0,1,0,0.2857142857142857,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-19,13,0,1,0,0.0,0.0,-1.0,1.1139433523068367
AL,São Miguel dos Milagres,27,270870.0,2020-05-20,17,4,1,0,0.5714285714285714,0.0,-1.0,1.2304489213782739
AL,São Miguel dos Milagres,27,270870.0,2020-05-21,17,0,1,0,0.5714285714285714,0.0,-1.0,1.2304489213782739
AL,São Miguel dos Milagres,27,270870.0,2020-05-22,19,2,1,0,0.8571428571428571,0.0,-1.0,1.2787536009528289
AL,São Miguel dos Milagres,27,270870.0,2020-05-23,19,0,1,0,0.8571428571428571,0.0,-1.0,1.2787536009528289
AL,São Miguel dos Milagres,27,270870.0,2020-05-24,19,0,1,0,0.8571428571428571,0.0,-1.0,1.2787536009528289
AL,São Miguel dos Milagres,27,270870.0,2020-05-25,21,2,1,0,1.1428571428571428,0.0,-1.0,1.3222192947339193
AL,São Miguel dos Milagres,27,270870.0,2020-05-26,21,0,1,0,1.1428571428571428,0.0,-1.0,1.3222192947339193
AL,São Miguel dos Milagres,27,270870.0,2020-05-27,21,0,1,0,0.5714285714285714,0.0,-1.0,1.3222192947339193
AL,São Miguel dos Milagres,27,270870.0,2020-05-28,23,2,1,0,0.8571428571428571,0.0,-1.0,1.3617278360175928
AL,São Miguel dos Milagres,27,270870.0,2020-05-29,24,1,1,0,0.7142857142857143,0.0,-1.0,1.380211241711606
