estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
CE,Barbalha,23,230190.0,2020-03-27,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-03-28,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-03-29,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-03-30,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-03-31,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-04-01,0,0,0,0,,,,0.0
CE,Barbalha,23,230190.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-08,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-09,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-10,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-11,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-12,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-13,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-14,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-15,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-16,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-17,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-18,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-19,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-20,0,0,0,0,0.0,0.0,,0.0
CE,Barbalha,23,230190.0,2020-04-21,2,2,0,0,0.2857142857142857,0.0,,0.3010299956639812
CE,Barbalha,23,230190.0,2020-04-22,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
CE,Barbalha,23,230190.0,2020-04-23,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
CE,Barbalha,23,230190.0,2020-04-24,3,1,0,0,0.42857142857142855,0.0,,0.47712125471966244
CE,Barbalha,23,230190.0,2020-04-25,2,-1,0,0,0.2857142857142857,0.0,,0.3010299956639812
CE,Barbalha,23,230190.0,2020-04-26,4,2,0,0,0.5714285714285714,0.0,,0.6020599913279624
CE,Barbalha,23,230190.0,2020-04-27,4,0,0,0,0.5714285714285714,0.0,,0.6020599913279624
CE,Barbalha,23,230190.0,2020-04-28,4,0,0,0,0.2857142857142857,0.0,,0.6020599913279624
CE,Barbalha,23,230190.0,2020-04-29,4,0,0,0,0.2857142857142857,0.0,,0.6020599913279624
CE,Barbalha,23,230190.0,2020-04-30,4,0,0,0,0.2857142857142857,0.0,,0.6020599913279624
CE,Barbalha,23,230190.0,2020-05-01,5,1,0,0,0.2857142857142857,0.0,,0.6989700043360189
CE,Barbalha,23,230190.0,2020-05-02,5,0,0,0,0.42857142857142855,0.0,,0.6989700043360189
CE,Barbalha,23,230190.0,2020-05-03,5,0,0,0,0.14285714285714285,0.0,,0.6989700043360189
CE,Barbalha,23,230190.0,2020-05-04,6,1,0,0,0.2857142857142857,0.0,,0.7781512503836436
CE,Barbalha,23,230190.0,2020-05-05,6,0,0,0,0.2857142857142857,0.0,,0.7781512503836436
CE,Barbalha,23,230190.0,2020-05-06,6,0,0,0,0.2857142857142857,0.0,,0.7781512503836436
CE,Barbalha,23,230190.0,2020-05-07,8,2,0,0,0.5714285714285714,0.0,,0.9030899869919435
CE,Barbalha,23,230190.0,2020-05-08,8,0,0,0,0.42857142857142855,0.0,,0.9030899869919435
CE,Barbalha,23,230190.0,2020-05-09,8,0,0,0,0.42857142857142855,0.0,,0.9030899869919435
CE,Barbalha,23,230190.0,2020-05-10,8,0,0,0,0.42857142857142855,0.0,,0.9030899869919435
CE,Barbalha,23,230190.0,2020-05-11,9,1,0,0,0.42857142857142855,0.0,,0.9542425094393249
CE,Barbalha,23,230190.0,2020-05-12,9,0,0,0,0.42857142857142855,0.0,,0.9542425094393249
CE,Barbalha,23,230190.0,2020-05-13,9,0,0,0,0.42857142857142855,0.0,,0.9542425094393249
CE,Barbalha,23,230190.0,2020-05-14,9,0,0,0,0.14285714285714285,0.0,,0.9542425094393249
CE,Barbalha,23,230190.0,2020-05-15,14,5,0,0,0.8571428571428571,0.0,,1.146128035678238
CE,Barbalha,23,230190.0,2020-05-16,14,0,0,0,0.8571428571428571,0.0,,1.146128035678238
CE,Barbalha,23,230190.0,2020-05-17,14,0,0,0,0.8571428571428571,0.0,,1.146128035678238
CE,Barbalha,23,230190.0,2020-05-18,27,13,1,1,2.5714285714285716,0.14285714285714285,5.0,1.4313637641589874
CE,Barbalha,23,230190.0,2020-05-19,30,3,1,0,3.0,0.14285714285714285,5.0,1.4771212547196624
CE,Barbalha,23,230190.0,2020-05-20,31,1,1,0,3.142857142857143,0.14285714285714285,5.0,1.4913616938342726
CE,Barbalha,23,230190.0,2020-05-21,31,0,1,0,3.142857142857143,0.14285714285714285,5.0,1.4913616938342726
CE,Barbalha,23,230190.0,2020-05-22,33,2,1,0,2.7142857142857144,0.14285714285714285,5.0,1.5185139398778875
CE,Barbalha,23,230190.0,2020-05-23,33,0,1,0,2.7142857142857144,0.14285714285714285,5.0,1.5185139398778875
CE,Barbalha,23,230190.0,2020-05-24,33,0,1,0,2.7142857142857144,0.14285714285714285,5.0,1.5185139398778875
CE,Barbalha,23,230190.0,2020-05-25,34,1,2,1,1.0,0.14285714285714285,5.0,1.5314789170422551
CE,Barbalha,23,230190.0,2020-05-26,34,0,2,0,0.5714285714285714,0.14285714285714285,5.0,1.5314789170422551
CE,Barbalha,23,230190.0,2020-05-27,34,0,2,0,0.42857142857142855,0.14285714285714285,5.0,1.5314789170422551
CE,Barbalha,23,230190.0,2020-05-28,34,0,2,0,0.42857142857142855,0.14285714285714285,5.0,1.5314789170422551
CE,Barbalha,23,230190.0,2020-05-29,34,0,2,0,0.14285714285714285,0.14285714285714285,5.0,1.5314789170422551
CE,Barbalha,23,230190.0,2020-05-30,57,23,2,0,3.4285714285714284,0.14285714285714285,5.0,1.7558748556724915
CE,Barbalha,23,230190.0,2020-05-31,57,0,2,0,3.4285714285714284,0.14285714285714285,5.0,1.7558748556724915
CE,Barbalha,23,230190.0,2020-06-01,61,4,2,0,3.857142857142857,0.0,-1.0,1.7853298350107671
CE,Barbalha,23,230190.0,2020-06-02,64,3,2,0,4.285714285714286,0.0,-1.0,1.806179973983887
CE,Barbalha,23,230190.0,2020-06-03,71,7,2,0,5.285714285714286,0.0,-1.0,1.8512583487190752
CE,Barbalha,23,230190.0,2020-06-04,73,2,2,0,5.571428571428571,0.0,-1.0,1.863322860120456
CE,Barbalha,23,230190.0,2020-06-05,74,1,2,0,5.714285714285714,0.0,-1.0,1.8692317197309762
CE,Barbalha,23,230190.0,2020-06-06,77,3,2,0,2.857142857142857,0.0,-1.0,1.8864907251724818
CE,Barbalha,23,230190.0,2020-06-07,81,4,2,0,3.4285714285714284,0.0,-1.0,1.9084850188786497
CE,Barbalha,23,230190.0,2020-06-08,82,1,2,0,3.0,0.0,-1.0,1.9138138523837167
CE,Barbalha,23,230190.0,2020-06-09,90,8,2,0,3.7142857142857144,0.0,-1.0,1.9542425094393248
CE,Barbalha,23,230190.0,2020-06-10,96,6,2,0,3.5714285714285716,0.0,-1.0,1.9822712330395684
CE,Barbalha,23,230190.0,2020-06-11,103,7,2,0,4.285714285714286,0.0,-1.0,2.012837224705172
CE,Barbalha,23,230190.0,2020-06-12,112,9,2,0,5.428571428571429,0.0,-1.0,2.0492180226701815
CE,Barbalha,23,230190.0,2020-06-13,114,2,2,0,5.285714285714286,0.0,-1.0,2.0569048513364727
CE,Barbalha,23,230190.0,2020-06-14,115,1,2,0,4.857142857142857,0.0,-1.0,2.060697840353612
CE,Barbalha,23,230190.0,2020-06-15,125,10,2,0,6.142857142857143,0.0,-1.0,2.0969100130080562
CE,Barbalha,23,230190.0,2020-06-16,137,12,2,0,6.714285714285714,0.0,-1.0,2.1367205671564067
CE,Barbalha,23,230190.0,2020-06-17,154,17,3,1,8.285714285714286,0.14285714285714285,5.0,2.187520720836463
CE,Barbalha,23,230190.0,2020-06-18,168,14,4,1,9.285714285714286,0.2857142857142857,5.0,2.225309281725863
CE,Barbalha,23,230190.0,2020-06-19,177,9,4,0,9.285714285714286,0.2857142857142857,5.0,2.2479732663618064
CE,Barbalha,23,230190.0,2020-06-20,198,21,4,0,12.0,0.2857142857142857,5.0,2.296665190261531
CE,Barbalha,23,230190.0,2020-06-21,206,8,4,0,13.0,0.2857142857142857,5.0,2.3138672203691533
CE,Barbalha,23,230190.0,2020-06-22,207,1,4,0,11.714285714285714,0.2857142857142857,5.0,2.315970345456918
CE,Barbalha,23,230190.0,2020-06-23,223,16,4,0,12.285714285714286,0.2857142857142857,5.0,2.3483048630481607
CE,Barbalha,23,230190.0,2020-06-24,229,6,4,0,10.714285714285714,0.14285714285714285,5.0,2.359835482339888
CE,Barbalha,23,230190.0,2020-06-25,236,7,5,1,9.714285714285714,0.14285714285714285,5.0,2.3729120029701067
CE,Barbalha,23,230190.0,2020-06-26,267,31,6,1,12.857142857142858,0.2857142857142857,5.0,2.4265112613645754
CE,Barbalha,23,230190.0,2020-06-27,282,15,6,0,12.0,0.2857142857142857,5.0,2.450249108319361
CE,Barbalha,23,230190.0,2020-06-28,288,6,6,0,11.714285714285714,0.2857142857142857,5.0,2.459392487759231
CE,Barbalha,23,230190.0,2020-06-29,293,5,6,0,12.285714285714286,0.2857142857142857,5.0,2.4668676203541096
CE,Barbalha,23,230190.0,2020-06-30,350,57,6,0,18.142857142857142,0.2857142857142857,5.0,2.5440680443502757
CE,Barbalha,23,230190.0,2020-07-01,358,8,6,0,18.428571428571427,0.2857142857142857,1.0,2.5538830266438746
CE,Barbalha,23,230190.0,2020-07-02,377,19,7,1,20.142857142857142,0.2857142857142857,0.0,2.576341350205793
CE,Barbalha,23,230190.0,2020-07-03,394,17,7,0,18.142857142857142,0.14285714285714285,-0.5,2.595496221825574
CE,Barbalha,23,230190.0,2020-07-04,424,30,7,0,20.285714285714285,0.14285714285714285,-0.5,2.6273658565927325
CE,Barbalha,23,230190.0,2020-07-05,432,8,7,0,20.571428571428573,0.14285714285714285,-0.5,2.635483746814912
CE,Barbalha,23,230190.0,2020-07-06,435,3,7,0,20.285714285714285,0.14285714285714285,-0.5,2.6384892569546374
CE,Barbalha,23,230190.0,2020-07-07,455,20,8,1,15.0,0.2857142857142857,0.0,2.6580113966571126
CE,Barbalha,23,230190.0,2020-07-08,466,11,9,1,15.428571428571429,0.42857142857142855,2.0,2.66838591669
CE,Barbalha,23,230190.0,2020-07-09,494,28,18,9,16.714285714285715,1.5714285714285714,5.0,2.693726948923647
CE,Barbalha,23,230190.0,2020-07-10,505,11,18,0,15.857142857142858,1.5714285714285714,4.5,2.7032913781186614
CE,Barbalha,23,230190.0,2020-07-11,522,17,20,2,14.0,1.8571428571428572,5.0,2.717670503002262
CE,Barbalha,23,230190.0,2020-07-12,562,40,20,0,18.571428571428573,1.8571428571428572,5.0,2.749736315569061
CE,Barbalha,23,230190.0,2020-07-13,571,9,22,2,19.428571428571427,2.142857142857143,5.0,2.756636108245848
CE,Barbalha,23,230190.0,2020-07-14,588,17,23,1,19.0,2.142857142857143,5.0,2.7693773260761385
CE,Barbalha,23,230190.0,2020-07-15,592,4,25,2,18.0,2.2857142857142856,5.0,2.77232170672292
CE,Barbalha,23,230190.0,2020-07-16,679,87,28,3,26.428571428571427,1.4285714285714286,4.0,2.8318697742805017
CE,Barbalha,23,230190.0,2020-07-17,688,9,27,-1,26.142857142857142,1.2857142857142858,5.0,2.837588438235511
CE,Barbalha,23,230190.0,2020-07-18,697,9,28,1,25.0,1.1428571428571428,5.0,2.8432327780980096
CE,Barbalha,23,230190.0,2020-07-19,697,0,28,0,19.285714285714285,1.1428571428571428,5.0,2.8432327780980096
CE,Barbalha,23,230190.0,2020-07-20,706,9,28,0,19.285714285714285,0.8571428571428571,5.0,2.8488047010518036
CE,Banabuiú,23,230185.0,2020-03-27,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-03-28,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-03-29,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-03-30,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-03-31,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-04-01,0,0,0,0,,,,0.0
CE,Banabuiú,23,230185.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-08,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-09,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-10,0,0,0,0,0.0,0.0,,0.0
CE,Banabuiú,23,230185.0,2020-04-11,0,0,0,0,0.0,0.0,,0.0
