estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
PA,Altamira,15,150060.0,2020-03-27,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-03-28,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-03-29,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-03-30,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-03-31,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-04-01,0,0,0,0,,,,0.0
PA,Altamira,15,150060.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
PA,Altamira,15,150060.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
PA,Altamira,15,150060.0,2020-04-04,1,1,0,0,0.14285714285714285,0.0,,0.0
PA,Altamira,15,150060.0,2020-04-05,1,0,0,0,0.14285714285714285,0.0,,0.0
PA,Altamira,15,150060.0,2020-04-06,1,0,0,0,0.14285714285714285,0.0,,0.0
PA,Altamira,15,150060.0,2020-04-07,2,1,0,0,0.2857142857142857,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-08,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-09,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-10,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-11,2,0,0,0,0.14285714285714285,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-12,2,0,0,0,0.14285714285714285,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-13,2,0,0,0,0.14285714285714285,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-14,2,0,0,0,0.0,0.0,,0.3010299956639812
PA,Altamira,15,150060.0,2020-04-15,2,0,0,0,0.0,0.0,,0.3010299956639812
