estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RJ,Vassouras,33,330620.0,2020-03-27,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-03-28,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-03-29,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-03-30,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-03-31,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-04-01,0,0,0,0,,,,0.0
RJ,Vassouras,33,330620.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-08,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-09,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-10,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-11,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-12,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-13,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-14,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-15,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-16,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-17,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-18,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-19,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-20,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-21,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-22,0,0,0,0,0.0,0.0,,0.0
RJ,Vassouras,33,330620.0,2020-04-23,3,3,0,0,0.42857142857142855,0.0,,0.47712125471966244
RJ,Vassouras,33,330620.0,2020-04-24,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
RJ,Vassouras,33,330620.0,2020-04-25,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
RJ,Vassouras,33,330620.0,2020-04-26,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
RJ,Vassouras,33,330620.0,2020-04-27,3,0,0,0,0.42857142857142855,0.0,,0.47712125471966244
RJ,Vassouras,33,330620.0,2020-04-28,5,2,0,0,0.7142857142857143,0.0,,0.6989700043360189
RJ,Vassouras,33,330620.0,2020-04-29,5,0,0,0,0.7142857142857143,0.0,,0.6989700043360189
RJ,Vassouras,33,330620.0,2020-04-30,6,1,1,1,0.42857142857142855,0.14285714285714285,5.0,0.7781512503836436
RJ,Vassouras,33,330620.0,2020-05-01,8,2,2,1,0.7142857142857143,0.2857142857142857,5.0,0.9030899869919435
