estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RR,Alto Alegre,14,140005.0,2020-03-27,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-03-28,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-03-29,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-03-30,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-03-31,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-04-01,0,0,0,0,,,,0.0
RR,Alto Alegre,14,140005.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-08,1,1,0,0,0.14285714285714285,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-09,1,0,0,0,0.14285714285714285,0.0,,0.0
RR,Alto Alegre,14,140005.0,2020-04-10,1,0,1,1,0.14285714285714285,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-11,1,0,1,0,0.14285714285714285,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-12,1,0,1,0,0.14285714285714285,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-13,1,0,1,0,0.14285714285714285,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-14,1,0,1,0,0.14285714285714285,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-15,1,0,1,0,0.0,0.14285714285714285,,0.0
RR,Alto Alegre,14,140005.0,2020-04-16,1,0,1,0,0.0,0.14285714285714285,5.0,0.0
