estado,municipio,coduf,codmun,data,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,mediamovelcaso,mediamovelobito,crescimentoobito,crescimentocasos
RS,Santa Maria,43,431690.0,2020-03-27,0,0,0,0,,,,0.0
RS,Santa Maria,43,431690.0,2020-03-28,2,2,0,0,,,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-03-29,2,0,0,0,,,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-03-30,2,0,0,0,,,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-03-31,2,0,0,0,,,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-01,2,0,0,0,,,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-02,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-03,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-04,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-05,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-06,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-07,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-08,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Santa Maria,43,431690.0,2020-04-09,8,6,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-10,8,0,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-11,8,0,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-12,8,0,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-13,8,0,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-14,8,0,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Santa Maria,43,431690.0,2020-04-15,13,5,0,0,1.5714285714285714,0.0,,1.1139433523068367
RS,Santa Maria,43,431690.0,2020-04-16,13,0,0,0,0.7142857142857143,0.0,,1.1139433523068367
RS,Santa Maria,43,431690.0,2020-04-17,13,0,0,0,0.7142857142857143,0.0,,1.1139433523068367
RS,Santa Maria,43,431690.0,2020-04-18,13,0,0,0,0.7142857142857143,0.0,,1.1139433523068367
RS,Santa Maria,43,431690.0,2020-04-19,13,0,0,0,0.7142857142857143,0.0,,1.1139433523068367
RS,Santa Maria,43,431690.0,2020-04-20,18,5,0,0,1.4285714285714286,0.0,,1.255272505103306
RS,Santa Maria,43,431690.0,2020-04-21,18,0,0,0,1.4285714285714286,0.0,,1.255272505103306
RS,Santa Maria,43,431690.0,2020-04-22,18,0,0,0,0.7142857142857143,0.0,,1.255272505103306
RS,Santa Maria,43,431690.0,2020-04-23,22,4,0,0,1.2857142857142858,0.0,,1.3424226808222062
RS,Santa Maria,43,431690.0,2020-04-24,22,0,0,0,1.2857142857142858,0.0,,1.3424226808222062
RS,Santa Maria,43,431690.0,2020-04-25,22,0,0,0,1.2857142857142858,0.0,,1.3424226808222062
RS,Santa Maria,43,431690.0,2020-04-26,22,0,0,0,1.2857142857142858,0.0,,1.3424226808222062
RS,Santa Maria,43,431690.0,2020-04-27,22,0,0,0,0.5714285714285714,0.0,,1.3424226808222062
RS,Santa Maria,43,431690.0,2020-04-28,25,3,0,0,1.0,0.0,,1.3979400086720377
RS,Santa Maria,43,431690.0,2020-04-29,25,0,0,0,1.0,0.0,,1.3979400086720377
RS,Santa Maria,43,431690.0,2020-04-30,26,1,0,0,0.5714285714285714,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-01,26,0,0,0,0.5714285714285714,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-02,26,0,0,0,0.5714285714285714,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-03,26,0,0,0,0.5714285714285714,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-04,26,0,0,0,0.5714285714285714,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-05,26,0,0,0,0.14285714285714285,0.0,,1.414973347970818
RS,Santa Maria,43,431690.0,2020-05-06,28,2,0,0,0.42857142857142855,0.0,,1.4471580313422192
RS,Santa Maria,43,431690.0,2020-05-07,31,3,0,0,0.7142857142857143,0.0,,1.4913616938342726
RS,Santa Maria,43,431690.0,2020-05-08,31,0,0,0,0.7142857142857143,0.0,,1.4913616938342726
RS,Santa Maria,43,431690.0,2020-05-09,31,0,0,0,0.7142857142857143,0.0,,1.4913616938342726
RS,Santa Maria,43,431690.0,2020-05-10,31,0,0,0,0.7142857142857143,0.0,,1.4913616938342726
RS,Santa Maria,43,431690.0,2020-05-11,31,0,0,0,0.7142857142857143,0.0,,1.4913616938342726
RS,Santa Maria,43,431690.0,2020-05-12,37,6,0,0,1.5714285714285714,0.0,,1.568201724066995
RS,Santa Maria,43,431690.0,2020-05-13,37,0,0,0,1.2857142857142858,0.0,,1.568201724066995
RS,Santa Maria,43,431690.0,2020-05-14,37,0,0,0,0.8571428571428571,0.0,,1.568201724066995
RS,Santa Maria,43,431690.0,2020-05-15,43,6,1,1,1.7142857142857142,0.14285714285714285,5.0,1.6334684555795866
RS,Santa Maria,43,431690.0,2020-05-16,43,0,1,0,1.7142857142857142,0.14285714285714285,5.0,1.6334684555795866
RS,Santa Maria,43,431690.0,2020-05-17,44,1,2,1,1.8571428571428572,0.2857142857142857,5.0,1.6434526764861874
RS,Santa Maria,43,431690.0,2020-05-18,44,0,2,0,1.8571428571428572,0.2857142857142857,5.0,1.6434526764861874
RS,Santa Maria,43,431690.0,2020-05-19,44,0,2,0,1.0,0.2857142857142857,5.0,1.6434526764861874
RS,Santa Maria,43,431690.0,2020-05-20,116,72,2,0,11.285714285714286,0.2857142857142857,5.0,2.0644579892269186
RS,Santa Maria,43,431690.0,2020-05-21,124,8,2,0,12.428571428571429,0.2857142857142857,5.0,2.093421685162235
RS,Santa Maria,43,431690.0,2020-05-22,129,5,2,0,12.285714285714286,0.14285714285714285,5.0,2.110589710299249
RS,Santa Maria,43,431690.0,2020-05-23,133,4,2,0,12.857142857142858,0.14285714285714285,5.0,2.123851640967086
RS,Santa Maria,43,431690.0,2020-05-24,133,0,2,0,12.714285714285714,0.0,5.0,2.123851640967086
RS,Santa Maria,43,431690.0,2020-05-25,134,1,3,1,12.857142857142858,0.14285714285714285,5.0,2.1271047983648077
RS,Santa Maria,43,431690.0,2020-05-26,136,2,3,0,13.142857142857142,0.14285714285714285,5.0,2.1335389083702174
RS,Santa Maria,43,431690.0,2020-05-27,138,2,3,0,3.142857142857143,0.14285714285714285,5.0,2.1398790864012365
RS,Santa Maria,43,431690.0,2020-05-28,169,31,3,0,6.428571428571429,0.14285714285714285,5.0,2.2278867046136734
RS,Santa Maria,43,431690.0,2020-05-29,182,13,3,0,7.571428571428571,0.14285714285714285,0.0,2.2600713879850747
RS,Santa Maria,43,431690.0,2020-05-30,184,2,3,0,7.285714285714286,0.14285714285714285,0.0,2.2648178230095364
RS,Santa Maria,43,431690.0,2020-05-31,185,1,3,0,7.428571428571429,0.14285714285714285,-0.5,2.2671717284030137
RS,Santa Maria,43,431690.0,2020-06-01,185,0,3,0,7.285714285714286,0.0,-1.0,2.2671717284030137
RS,Santa Maria,43,431690.0,2020-06-02,186,1,3,0,7.142857142857143,0.0,-1.0,2.2695129442179165
RS,Santa Maria,43,431690.0,2020-06-03,208,22,3,0,10.0,0.0,-1.0,2.3180633349627615
RS,Santa Maria,43,431690.0,2020-06-04,219,11,3,0,7.142857142857143,0.0,-1.0,2.3404441148401185
RS,Santa Maria,43,431690.0,2020-06-05,242,23,3,0,8.571428571428571,0.0,-1.0,2.383815365980431
RS,Santa Maria,43,431690.0,2020-06-06,276,34,4,1,13.142857142857142,0.14285714285714285,0.0,2.4409090820652177
RS,Santa Maria,43,431690.0,2020-06-07,280,4,4,0,13.571428571428571,0.14285714285714285,5.0,2.4471580313422194
RS,Santa Maria,43,431690.0,2020-06-08,283,3,4,0,14.0,0.14285714285714285,0.0,2.45178643552429
RS,Santa Maria,43,431690.0,2020-06-09,289,6,5,1,14.714285714285714,0.2857142857142857,1.0,2.4608978427565478
RS,Santa Maria,43,431690.0,2020-06-10,296,7,5,0,12.571428571428571,0.2857142857142857,1.0,2.4712917110589387
RS,Santa Maria,43,431690.0,2020-06-11,301,5,6,1,11.714285714285714,0.42857142857142855,2.0,2.478566495593843
RS,Santa Maria,43,431690.0,2020-06-12,301,0,6,0,8.428571428571429,0.42857142857142855,2.0,2.478566495593843
RS,Santa Maria,43,431690.0,2020-06-13,304,3,7,1,4.0,0.42857142857142855,2.0,2.482873583608754
RS,Santa Maria,43,431690.0,2020-06-14,307,3,8,1,3.857142857142857,0.5714285714285714,3.0,2.4871383754771865
RS,Santa Maria,43,431690.0,2020-06-15,370,63,8,0,12.428571428571429,0.5714285714285714,5.0,2.568201724066995
RS,Santa Maria,43,431690.0,2020-06-16,428,58,8,0,19.857142857142858,0.42857142857142855,5.0,2.6314437690131722
RS,Santa Maria,43,431690.0,2020-06-17,442,14,10,2,20.857142857142858,0.7142857142857143,5.0,2.645422269349092
RS,Santa Maria,43,431690.0,2020-06-18,470,28,10,0,24.142857142857142,0.5714285714285714,5.0,2.6720978579357175
RS,Santa Maria,43,431690.0,2020-06-19,474,4,13,3,24.714285714285715,1.0,5.0,2.6757783416740852
RS,Santa Maria,43,431690.0,2020-06-20,474,0,13,0,24.285714285714285,0.8571428571428571,5.0,2.6757783416740852
RS,Santa Maria,43,431690.0,2020-06-21,475,1,13,0,24.0,0.7142857142857143,4.0,2.6766936096248664
RS,Santa Maria,43,431690.0,2020-06-22,488,13,13,0,16.857142857142858,0.7142857142857143,4.0,2.6884198220027105
RS,Santa Maria,43,431690.0,2020-06-23,504,16,14,1,10.857142857142858,0.8571428571428571,2.0,2.7024305364455254
RS,Santa Maria,43,431690.0,2020-06-24,514,10,15,1,10.285714285714286,0.7142857142857143,1.5000000000000002,2.710963118995276
RS,Santa Maria,43,431690.0,2020-06-25,522,8,15,0,7.428571428571429,0.7142857142857143,0.6666666666666669,2.717670503002262
RS,Santa Maria,43,431690.0,2020-06-26,548,26,17,2,10.571428571428571,0.5714285714285714,0.3333333333333333,2.738780558484369
RS,Santa Maria,43,431690.0,2020-06-27,556,8,17,0,11.714285714285714,0.5714285714285714,0.3333333333333333,2.7450747915820575
RS,Santa Maria,43,431690.0,2020-06-28,556,0,17,0,11.571428571428571,0.5714285714285714,0.0,2.7450747915820575
RS,Santa Maria,43,431690.0,2020-06-29,560,4,17,0,10.285714285714286,0.5714285714285714,0.0,2.7481880270062002
RS,Santa Maria,43,431690.0,2020-06-30,578,18,17,0,10.571428571428571,0.42857142857142855,0.0,2.761927838420529
RS,Santa Maria,43,431690.0,2020-07-01,579,1,17,0,9.285714285714286,0.2857142857142857,-0.6,2.762678563727436
RS,Santa Maria,43,431690.0,2020-07-02,580,1,17,0,8.285714285714286,0.2857142857142857,-0.5,2.7634279935629373
RS,Santa Maria,43,431690.0,2020-07-03,586,6,17,0,5.428571428571429,0.0,-1.0,2.767897616018091
RS,Santa Maria,43,431690.0,2020-07-04,638,52,17,0,11.714285714285714,0.0,-1.0,2.8048206787211623
RS,Santa Maria,43,431690.0,2020-07-05,643,5,18,1,12.428571428571429,0.14285714285714285,-0.7999999999999999,2.808210972924222
RS,Santa Maria,43,431690.0,2020-07-06,652,9,18,0,13.142857142857142,0.14285714285714285,-0.7999999999999999,2.81424759573192
RS,Santa Maria,43,431690.0,2020-07-07,657,5,18,0,11.285714285714286,0.14285714285714285,-0.8333333333333333,2.8175653695597807
RS,Santa Maria,43,431690.0,2020-07-08,660,3,18,0,11.571428571428571,0.14285714285714285,-0.7999999999999999,2.8195439355418688
RS,Santa Maria,43,431690.0,2020-07-09,669,9,18,0,12.714285714285714,0.14285714285714285,-0.7999999999999999,2.8254261177678233
RS,Santa Maria,43,431690.0,2020-07-10,669,0,18,0,11.857142857142858,0.14285714285714285,-0.75,2.8254261177678233
RS,Santa Maria,43,431690.0,2020-07-11,669,0,18,0,4.428571428571429,0.14285714285714285,-0.75,2.8254261177678233
RS,Santa Maria,43,431690.0,2020-07-12,669,0,18,0,3.7142857142857144,0.0,-1.0,2.8254261177678233
RS,Santa Maria,43,431690.0,2020-07-13,683,14,18,0,4.428571428571429,0.0,-1.0,2.8344207036815323
RS,Santa Maria,43,431690.0,2020-07-14,690,7,20,2,4.714285714285714,0.2857142857142857,-0.3333333333333333,2.838849090737255
RS,Santa Maria,43,431690.0,2020-07-15,707,17,21,1,6.714285714285714,0.42857142857142855,0.5,2.8494194137968996
RS,Santa Maria,43,431690.0,2020-07-16,730,23,21,0,8.714285714285714,0.42857142857142855,0.5,2.863322860120456
RS,Santa Maria,43,431690.0,2020-07-17,752,22,21,0,11.857142857142858,0.42857142857142855,5.0,2.876217840591642
RS,Santa Maria,43,431690.0,2020-07-18,762,10,21,0,13.285714285714286,0.42857142857142855,5.0,2.8819549713396007
RS,Santa Maria,43,431690.0,2020-07-19,762,0,21,0,13.285714285714286,0.42857142857142855,2.0,2.8819549713396007
RS,Santa Maria,43,431690.0,2020-07-20,763,1,21,0,11.428571428571429,0.42857142857142855,2.0,2.8825245379548803
RS,Santa Maria,43,431690.0,2020-07-21,820,57,22,1,18.571428571428573,0.2857142857142857,1.0,2.9138138523837167
RS,Santa Maria,43,431690.0,2020-07-22,887,67,23,1,25.714285714285715,0.2857142857142857,1.0,2.9479236198317262
RS,Encantado,43,430680.0,2020-03-27,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-03-28,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-03-29,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-03-30,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-03-31,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-04-01,0,0,0,0,,,,0.0
RS,Encantado,43,430680.0,2020-04-02,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-03,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-04,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-05,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-06,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-07,0,0,0,0,0.0,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-08,1,1,0,0,0.14285714285714285,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-09,1,0,0,0,0.14285714285714285,0.0,,0.0
RS,Encantado,43,430680.0,2020-04-10,2,1,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-11,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-12,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-13,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-14,2,0,0,0,0.2857142857142857,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-15,2,0,0,0,0.14285714285714285,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-16,2,0,0,0,0.14285714285714285,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-17,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-18,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-19,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-20,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-21,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-22,2,0,0,0,0.0,0.0,,0.3010299956639812
RS,Encantado,43,430680.0,2020-04-23,3,1,0,0,0.14285714285714285,0.0,,0.47712125471966244
RS,Encantado,43,430680.0,2020-04-24,4,1,0,0,0.2857142857142857,0.0,,0.6020599913279624
RS,Encantado,43,430680.0,2020-04-25,6,2,0,0,0.5714285714285714,0.0,,0.7781512503836436
RS,Encantado,43,430680.0,2020-04-26,6,0,0,0,0.5714285714285714,0.0,,0.7781512503836436
RS,Encantado,43,430680.0,2020-04-27,7,1,0,0,0.7142857142857143,0.0,,0.8450980400142568
RS,Encantado,43,430680.0,2020-04-28,7,0,0,0,0.7142857142857143,0.0,,0.8450980400142568
RS,Encantado,43,430680.0,2020-04-29,8,1,0,0,0.8571428571428571,0.0,,0.9030899869919435
RS,Encantado,43,430680.0,2020-04-30,8,0,0,0,0.7142857142857143,0.0,,0.9030899869919435
RS,Encantado,43,430680.0,2020-05-01,8,0,0,0,0.5714285714285714,0.0,,0.9030899869919435
RS,Encantado,43,430680.0,2020-05-02,8,0,0,0,0.2857142857142857,0.0,,0.9030899869919435
RS,Encantado,43,430680.0,2020-05-03,10,2,0,0,0.5714285714285714,0.0,,1.0
RS,Encantado,43,430680.0,2020-05-04,10,0,0,0,0.42857142857142855,0.0,,1.0
RS,Encantado,43,430680.0,2020-05-05,10,0,0,0,0.42857142857142855,0.0,,1.0
RS,Encantado,43,430680.0,2020-05-06,16,6,0,0,1.1428571428571428,0.0,,1.2041199826559248
RS,Encantado,43,430680.0,2020-05-07,19,3,0,0,1.5714285714285714,0.0,,1.2787536009528289
RS,Encantado,43,430680.0,2020-05-08,19,0,0,0,1.5714285714285714,0.0,,1.2787536009528289
RS,Encantado,43,430680.0,2020-05-09,20,1,0,0,1.7142857142857142,0.0,,1.3010299956639813
RS,Encantado,43,430680.0,2020-05-10,20,0,0,0,1.4285714285714286,0.0,,1.3010299956639813
RS,Encantado,43,430680.0,2020-05-11,21,1,0,0,1.5714285714285714,0.0,,1.3222192947339193
RS,Encantado,43,430680.0,2020-05-12,21,0,0,0,1.5714285714285714,0.0,,1.3222192947339193
RS,Encantado,43,430680.0,2020-05-13,21,0,0,0,0.7142857142857143,0.0,,1.3222192947339193
RS,Encantado,43,430680.0,2020-05-14,22,1,0,0,0.42857142857142855,0.0,,1.3424226808222062
RS,Encantado,43,430680.0,2020-05-15,24,2,0,0,0.7142857142857143,0.0,,1.380211241711606
RS,Encantado,43,430680.0,2020-05-16,24,0,0,0,0.5714285714285714,0.0,,1.380211241711606
RS,Encantado,43,430680.0,2020-05-17,26,2,1,1,0.8571428571428571,0.14285714285714285,5.0,1.414973347970818
RS,Encantado,43,430680.0,2020-05-18,26,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.414973347970818
RS,Encantado,43,430680.0,2020-05-19,26,0,1,0,0.7142857142857143,0.14285714285714285,5.0,1.414973347970818
RS,Encantado,43,430680.0,2020-05-20,28,2,1,0,1.0,0.14285714285714285,5.0,1.4471580313422192
RS,Encantado,43,430680.0,2020-05-21,29,1,1,0,1.0,0.14285714285714285,5.0,1.462397997898956
RS,Encantado,43,430680.0,2020-05-22,32,3,1,0,1.1428571428571428,0.14285714285714285,5.0,1.505149978319906
RS,Encantado,43,430680.0,2020-05-23,36,4,1,0,1.7142857142857142,0.14285714285714285,5.0,1.5563025007672873
RS,Encantado,43,430680.0,2020-05-24,37,1,1,0,1.5714285714285714,0.0,5.0,1.568201724066995
RS,Encantado,43,430680.0,2020-05-25,37,0,1,0,1.5714285714285714,0.0,5.0,1.568201724066995
RS,Encantado,43,430680.0,2020-05-26,38,1,2,1,1.7142857142857142,0.14285714285714285,5.0,1.5797835966168101
RS,Encantado,43,430680.0,2020-05-27,38,0,2,0,1.4285714285714286,0.14285714285714285,5.0,1.5797835966168101
RS,Encantado,43,430680.0,2020-05-28,38,0,2,0,1.2857142857142858,0.14285714285714285,5.0,1.5797835966168101
RS,Encantado,43,430680.0,2020-05-29,40,2,2,0,1.1428571428571428,0.14285714285714285,5.0,1.6020599913279625
RS,Encantado,43,430680.0,2020-05-30,49,9,2,0,1.8571428571428572,0.14285714285714285,5.0,1.6901960800285136
RS,Encantado,43,430680.0,2020-05-31,49,0,2,0,1.7142857142857142,0.14285714285714285,0.0,1.6901960800285136
RS,Encantado,43,430680.0,2020-06-01,49,0,2,0,1.7142857142857142,0.14285714285714285,0.0,1.6901960800285136
RS,Encantado,43,430680.0,2020-06-02,54,5,2,0,2.2857142857142856,0.0,-1.0,1.7323937598229686
RS,Encantado,43,430680.0,2020-06-03,55,1,2,0,2.4285714285714284,0.0,-1.0,1.7403626894942439
RS,Encantado,43,430680.0,2020-06-04,58,3,3,1,2.857142857142857,0.14285714285714285,0.0,1.7634279935629373
RS,Encantado,43,430680.0,2020-06-05,61,3,3,0,3.0,0.14285714285714285,0.0,1.7853298350107671
RS,Encantado,43,430680.0,2020-06-06,71,10,3,0,3.142857142857143,0.14285714285714285,0.0,1.8512583487190752
RS,Encantado,43,430680.0,2020-06-07,71,0,3,0,3.142857142857143,0.14285714285714285,5.0,1.8512583487190752
RS,Encantado,43,430680.0,2020-06-08,71,0,3,0,3.142857142857143,0.14285714285714285,5.0,1.8512583487190752
RS,Encantado,43,430680.0,2020-06-09,74,3,3,0,2.857142857142857,0.14285714285714285,0.0,1.8692317197309762
RS,Encantado,43,430680.0,2020-06-10,80,6,3,0,3.5714285714285716,0.14285714285714285,0.0,1.9030899869919435
RS,Encantado,43,430680.0,2020-06-11,80,0,3,0,3.142857142857143,0.0,-1.0,1.9030899869919435
RS,Encantado,43,430680.0,2020-06-12,80,0,3,0,2.7142857142857144,0.0,-1.0,1.9030899869919435
RS,Encantado,43,430680.0,2020-06-13,81,1,3,0,1.4285714285714286,0.0,-1.0,1.9084850188786497
RS,Encantado,43,430680.0,2020-06-14,81,0,3,0,1.4285714285714286,0.0,-1.0,1.9084850188786497
RS,Encantado,43,430680.0,2020-06-15,89,8,3,0,2.5714285714285716,0.0,-1.0,1.9493900066449128
RS,Encantado,43,430680.0,2020-06-16,96,7,3,0,3.142857142857143,0.0,-1.0,1.9822712330395684
RS,Encantado,43,430680.0,2020-06-17,95,-1,3,0,2.142857142857143,0.0,-1.0,1.9777236052888478
RS,Encantado,43,430680.0,2020-06-18,101,6,4,1,3.0,0.14285714285714285,0.0,2.0043213737826426
RS,Encantado,43,430680.0,2020-06-19,106,5,4,0,3.7142857142857144,0.14285714285714285,0.0,2.0253058652647704
RS,Encantado,43,430680.0,2020-06-20,107,1,4,0,3.7142857142857144,0.14285714285714285,0.0,2.0293837776852097
RS,Encantado,43,430680.0,2020-06-21,107,0,4,0,3.7142857142857144,0.14285714285714285,0.0,2.0293837776852097
RS,Encantado,43,430680.0,2020-06-22,109,2,4,0,2.857142857142857,0.14285714285714285,0.0,2.037426497940624
RS,Encantado,43,430680.0,2020-06-23,118,9,4,0,3.142857142857143,0.14285714285714285,0.0,2.0718820073061255
RS,Encantado,43,430680.0,2020-06-24,121,3,4,0,3.7142857142857144,0.14285714285714285,0.0,2.08278537031645
RS,Encantado,43,430680.0,2020-06-25,128,7,4,0,3.857142857142857,0.0,0.0,2.1072099696478683
RS,Encantado,43,430680.0,2020-06-26,130,2,4,0,3.4285714285714284,0.0,0.0,2.113943352306837
RS,Encantado,43,430680.0,2020-06-27,133,3,4,0,3.7142857142857144,0.0,0.0,2.123851640967086
RS,Encantado,43,430680.0,2020-06-28,133,0,4,0,3.7142857142857144,0.0,0.0,2.123851640967086
RS,Encantado,43,430680.0,2020-06-29,133,0,4,0,3.4285714285714284,0.0,0.0,2.123851640967086
RS,Encantado,43,430680.0,2020-06-30,133,0,4,0,2.142857142857143,0.0,0.0,2.123851640967086
RS,Encantado,43,430680.0,2020-07-01,134,1,4,0,1.8571428571428572,0.0,0.0,2.1271047983648077
RS,Encantado,43,430680.0,2020-07-02,139,5,4,0,1.5714285714285714,0.0,-1.0,2.143014800254095
RS,Encantado,43,430680.0,2020-07-03,163,24,4,0,4.714285714285714,0.0,-1.0,2.2121876044039577
RS,Encantado,43,430680.0,2020-07-04,172,9,4,0,5.571428571428571,0.0,-1.0,2.2355284469075487
RS,Encantado,43,430680.0,2020-07-05,172,0,4,0,5.571428571428571,0.0,-1.0,2.2355284469075487
RS,Encantado,43,430680.0,2020-07-06,173,1,4,0,5.714285714285714,0.0,-1.0,2.2380461031287955
RS,Encantado,43,430680.0,2020-07-07,174,1,4,0,5.857142857142857,0.0,-1.0,2.2405492482825995
RS,Encantado,43,430680.0,2020-07-08,177,3,4,0,6.142857142857143,0.0,-1.0,2.2479732663618064
RS,Encantado,43,430680.0,2020-07-09,176,-1,4,0,5.285714285714286,0.0,-1.0,2.24551266781415
RS,Encantado,43,430680.0,2020-07-10,178,2,4,0,2.142857142857143,0.0,-1.0,2.250420002308894
RS,Encantado,43,430680.0,2020-07-11,182,4,4,0,1.4285714285714286,0.0,-1.0,2.2600713879850747
RS,Encantado,43,430680.0,2020-07-12,182,0,4,0,1.4285714285714286,0.0,-1.0,2.2600713879850747
RS,Encantado,43,430680.0,2020-07-13,182,0,4,0,1.2857142857142858,0.0,-1.0,2.2600713879850747
RS,Encantado,43,430680.0,2020-07-14,182,0,5,1,1.1428571428571428,0.14285714285714285,5.0,2.2600713879850747
RS,Encantado,43,430680.0,2020-07-15,182,0,5,0,0.7142857142857143,0.14285714285714285,5.0,2.2600713879850747
RS,Encantado,43,430680.0,2020-07-16,184,2,5,0,1.1428571428571428,0.14285714285714285,5.0,2.2648178230095364
RS,Encantado,43,430680.0,2020-07-17,184,0,5,0,0.8571428571428571,0.14285714285714285,5.0,2.2648178230095364
RS,Encantado,43,430680.0,2020-07-18,184,0,5,0,0.2857142857142857,0.14285714285714285,5.0,2.2648178230095364
RS,Encantado,43,430680.0,2020-07-19,184,0,5,0,0.2857142857142857,0.14285714285714285,5.0,2.2648178230095364
RS,Encantado,43,430680.0,2020-07-20,184,0,5,0,0.2857142857142857,0.14285714285714285,5.0,2.2648178230095364
RS,Encantado,43,430680.0,2020-07-21,184,0,5,0,0.2857142857142857,0.0,5.0,2.2648178230095364
