data,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2020-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2020-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
2020-04-02,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,
2020-04-03,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,
2020-04-04,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,
2020-04-05,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,
2020-04-06,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,
2020-04-07,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,
2020-04-08,,,2.0,,,,,,,,,,,,,1.0,,,3.0,,,,5.0,,,4.0,
2020-04-09,,,1.0,,,4.0,,,,,,,,,,2.0,,,5.0,,,,,3.0,,,
2020-04-10,,,1.0,,,5.0,,,,,,,,,,2.0,,,4.0,,,,,3.0,,,
2020-04-11,,,1.0,,,4.0,,,,,,,,,,3.0,,5.0,,,,,,2.0,,,
2020-04-12,,,1.0,,4.0,,,,5.0,,,,,,,3.0,,,,,,,,2.0,,,
2020-04-13,,,1.0,,,5.0,,,,2.0,3.0,,,,,,,,,,,,,3.0,,,
2020-04-14,,,2.0,,,4.0,,,5.0,1.0,,,,,,3.0,,,,5.0,,,,,,,
2020-04-15,,,1.0,,,,,,,2.0,,,,4.0,3.0,5.0,,,,,,,,,,,
2020-04-16,,,1.0,,,,,,,2.0,,,,4.0,4.0,3.0,,,,,,,,,,,
2020-04-17,,,4.0,,,,,,,1.0,,,,3.0,5.0,2.0,,,,,,,,,,,
2020-04-18,,,4.0,,,,,,5.0,1.0,,,,1.0,,3.0,,,,,,,,,,,
2020-04-19,,5.0,3.0,,,,,,,2.0,,,,1.0,,4.0,,,,,,,,,,,
2020-04-20,,2.0,4.0,,,,,,,1.0,,,,3.0,,5.0,,,,,,,,,,,
2020-04-21,5.0,1.0,4.0,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,
2020-04-22,,1.0,5.0,,,,,,,,,,,4.0,3.0,,2.0,,,,,,,,,,
2020-04-23,,1.0,,,,3.0,,4.0,,5.0,,,,2.0,,,,,,,,,,,,,
2020-04-24,,1.0,,4.0,,5.0,,3.0,,,,,,2.0,,,,,,,,,,,,,
2020-04-25,,1.0,,4.0,,,,3.0,,,,,,2.0,,,,,,,5.0,,,,,,
2020-04-26,,1.0,,,,,,2.0,,,,,,4.0,,,,,,,3.0,,,,5.0,,
2020-04-27,,1.0,,4.0,,5.0,,,,,,,,2.0,,,,,,,3.0,,,,,,
2020-04-28,4.0,1.0,,,5.0,,,,,,,,,3.0,,,,,,,2.0,,,,,,
2020-04-29,2.0,3.0,,,,,,,,5.0,,,,4.0,,,,,,,1.0,,,,,,
2020-04-30,,1.0,,,,,,,,5.0,,,,3.0,,,4.0,,,,2.0,,,,,,
2020-05-01,,4.0,,,,,,,,5.0,,,,2.0,,,3.0,,,,1.0,,,,,,
2020-05-02,,3.0,,,,,,,,4.0,,,,2.0,,,,,,,1.0,,,,5.0,,
2020-05-03,,,,,,,,,,3.0,,,,1.0,,,,,,,2.0,,5.0,,4.0,,
2020-05-04,,,,,,,,,,4.0,,,,1.0,,,,,,,2.0,,,,3.0,,5.0
2020-05-05,,,,,,,,,,5.0,,,,1.0,,,,,,,3.0,,,,2.0,,4.0
2020-05-06,,,,,,,,4.0,,5.0,,,,1.0,,,,,,,2.0,,3.0,,,,
2020-05-07,,,,5.0,,,,,,,,,,2.0,,,,,,,1.0,,4.0,,,,3.0
2020-05-08,,,,,,,,4.0,,,,,,3.0,,,,,,,1.0,,5.0,,,,2.0
2020-05-09,,,,,,,5.0,,,,,,,1.0,,,,,,,4.0,,,,3.0,,2.0
2020-05-10,,,5.0,,,,,,,,,,,3.0,,,,,,,,1.0,,,4.0,,2.0
2020-05-11,,4.0,,,,,,,,,,,,3.0,,,,,,,,1.0,,,5.0,,2.0
2020-05-12,,4.0,,,,,,,,,,,,2.0,5.0,,,,,,,3.0,,,,,1.0
2020-05-13,,,,,,,4.0,,,,,,,2.0,,,,,,,,3.0,,,5.0,,1.0
2020-05-14,,,,,,,,,5.0,,,,,4.0,,,,,,,,2.0,,,3.0,,1.0
2020-05-15,,,,,,,3.0,,4.0,,,,4.0,,,,,,,,,2.0,,,,,1.0
2020-05-16,,,,,,,,,3.0,,,,5.0,,,,,,,,,2.0,,,4.0,,1.0
2020-05-17,,,,,,,,,2.0,,,,5.0,,,,,,,5.0,,4.0,,,2.0,,1.0
2020-05-18,,,,,,,,,1.0,,,3.0,,,,,5.0,,,,,2.0,,,,,3.0
2020-05-19,,,,,,,3.0,,,,,,2.0,,,,5.0,,,,,1.0,,,,,4.0
2020-05-20,,,,,,,4.0,,,,,5.0,1.0,,,,2.0,,,,,2.0,,,,,
2020-05-21,,,,,,,1.0,,,,,,2.0,5.0,,,,,,,,3.0,,,,,4.0
2020-05-22,,,,,,,2.0,,,,,,4.0,5.0,,,,,,,,1.0,,,,,3.0
2020-05-23,,,,,,,1.0,,,,,,,5.0,,,4.0,,,,,3.0,,,,,2.0
2020-05-24,,,,,,,1.0,,,,,,,4.0,,,5.0,,,,,2.0,,,,,3.0
2020-05-25,,,,,4.0,,1.0,,,,5.0,,,3.0,,,,,,,,,,,,,2.0
2020-05-26,,,,,,,1.0,,,,,,,,,,,,,5.0,,4.0,,,3.0,,2.0
2020-05-27,,,,,,,1.0,,,,,,,,,,,,,,3.0,4.0,,5.0,2.0,,
2020-05-28,3.0,,,,,,1.0,,,,,,,,,,,,,,5.0,,,4.0,2.0,,
2020-05-29,2.0,,,,5.0,,1.0,,,,,,,,,,4.0,,,,,,,,3.0,,
2020-05-30,3.0,,,,4.0,,1.0,,,,,,,,,,,,,5.0,,,,,2.0,,
2020-05-31,2.0,,,,5.0,,1.0,,,,,,4.0,,,,,,,,,,,,3.0,,
2020-06-01,1.0,,,,,,3.0,,,,,,4.0,,,,,,,,,,,5.0,2.0,,
2020-06-02,1.0,,,,3.0,,,,4.0,,,,,,,,,2.0,,,,,,,5.0,,
2020-06-03,3.0,,,,,,5.0,,1.0,,,,2.0,,,,,4.0,,,,,,,,,
2020-06-04,2.0,,,,,,,,3.0,,,,1.0,,,,5.0,4.0,,,,,,,,,
2020-06-05,2.0,,,,,,,,,,,,1.0,,,,3.0,4.0,,5.0,,,,,,,
2020-06-06,3.0,,,,,,,,5.0,,,,1.0,,,,4.0,,,2.0,,,,,,,
2020-06-07,,,,,,,,,3.0,,,,1.0,,,,2.0,5.0,,4.0,,,,,,,
2020-06-08,,,,,,,,,3.0,,,3.0,1.0,,,,2.0,,,,5.0,,,,,,
2020-06-09,,,,,,,,,,,,4.0,1.0,,3.0,,2.0,,,5.0,,,,,,,
2020-06-10,,,,,,,,,,,,2.0,1.0,,4.0,,5.0,3.0,,,,,,,,,
2020-06-11,,,,,,,,,,,,1.0,2.0,,,,5.0,4.0,,,3.0,,,,,,
